ABBR,Sentence_A,Sentence_B,Sentence_C,target,Primary_Expression,Alternative_Expression
ANA,"Antinuclear antibodies were detected by an immunofluorescence method, anti-dsDNA and anti-cardiolipin (aCL) antibodies by ELISA, antinucleosome and anti-extractible nuclear antigens (or anti-ENA: anti-Sm, anti-RNP, anti-SSA and anti-SSB) by immunodot.","ANA were detected by an immunofluorescence method, anti-dsDNA and anti-cardiolipin (aCL) antibodies by ELISA, antinucleosome and anti-extractible nuclear antigens (or anti-ENA: anti-Sm, anti-RNP, anti-SSA and anti-SSB) by immunodot.","American Nurses Association were detected by an immunofluorescence method, anti-dsDNA and anti-cardiolipin (aCL) antibodies by ELISA, antinucleosome and anti-extractible nuclear antigens (or anti-ENA: anti-Sm, anti-RNP, anti-SSA and anti-SSB) by immunodot.",were,Antinuclear antibodies,American Nurses Association
ANA,"Antinuclear antibodies were detected in 18% of EM-sera, as compared with healthy-women (0%, P = 0.014) and SLE-patients (93%, P = 0.0005).","ANA were detected in 18% of EM-sera, as compared with healthy-women (0%, P = 0.014) and SLE-patients (93%, P = 0.0005).","American Nurses Association were detected in 18% of EM-sera, as compared with healthy-women (0%, P = 0.014) and SLE-patients (93%, P = 0.0005).",were,Antinuclear antibodies,American Nurses Association
ASD,"The patients were 91 with atrial septal defect, 64 with mitral valve disease, 2 with coronary artery disease (coronary artery bypass grafting : CABG), and 10 with other (ventricular septal defect : VSD, myxoma et al.).","The patients were 91 with ASD, 64 with mitral valve disease, 2 with coronary artery disease (coronary artery bypass grafting : CABG), and 10 with other (ventricular septal defect : VSD, myxoma et al.).","The patients were 91 with Autism Spectrum Disorder, 64 with mitral valve disease, 2 with coronary artery disease (coronary artery bypass grafting : CABG), and 10 with other (ventricular septal defect : VSD, myxoma et al.).",mitral,atrial septal defect,Autism Spectrum Disorder
ASD,"Ventricular septal defect, atrial septal defect, aortic coarctation, single ventricle, pulmonary stenosis, hypoplastic right heart syndrome, double outlet right ventricle, ASD +VSD, aortic arcus anomalies, and right and left atrial isomerism cases were often (>50%) accompanied by extracardiac malformations.","Ventricular septal defect, ASD, aortic coarctation, single ventricle, pulmonary stenosis, hypoplastic right heart syndrome, double outlet right ventricle, ASD +VSD, aortic arcus anomalies, and right and left atrial isomerism cases were often (>50%) accompanied by extracardiac malformations.","Ventricular septal defect, Autism Spectrum Disorder, aortic coarctation, single ventricle, pulmonary stenosis, hypoplastic right heart syndrome, double outlet right ventricle, ASD +VSD, aortic arcus anomalies, and right and left atrial isomerism cases were often (>50%) accompanied by extracardiac malformations.",aortic,atrial septal defect,Autism Spectrum Disorder
CMS,"cytoplasmic male sterility is a mitochondrially encoded trait, which is characterized by a failure of plants to produce viable pollen.","CMS is a mitochondrially encoded trait, which is characterized by a failure of plants to produce viable pollen.","chronic mild stress is a mitochondrially encoded trait, which is characterized by a failure of plants to produce viable pollen.",is,cytoplasmic male sterility,chronic mild stress
CMS,cytoplasmic male sterility is a maternally inherited defect in pollen production specified by novel mitochondrial genes.,CMS is a maternally inherited defect in pollen production specified by novel mitochondrial genes.,chronic mild stress is a maternally inherited defect in pollen production specified by novel mitochondrial genes.,is,cytoplasmic male sterility,chronic mild stress
CMV,cytomegalovirus is the most common cause of congenital infection in humans.,CMV is the most common cause of congenital infection in humans.,cucumber mosaic virus is the most common cause of congenital infection in humans.,is,cytomegalovirus,cucumber mosaic virus
CMV,"The cytomegalovirus maturational protease, assemblin, contains an'internal'(I) cleavage site absent from its homologs in other herpesviruses.","The CMV maturational protease, assemblin, contains an'internal'(I) cleavage site absent from its homologs in other herpesviruses.","The cucumber mosaic virus maturational protease, assemblin, contains an'internal'(I) cleavage site absent from its homologs in other herpesviruses.",maturational,cytomegalovirus,cucumber mosaic virus
CPR,"cardiopulmonary resuscitation, including chest compressions and mechanical ventilation, was begun after 8 minutes of untreated cardiac arrest.","CPR, including chest compressions and mechanical ventilation, was begun after 8 minutes of untreated cardiac arrest.","C-peptide immunoreactivity, including chest compressions and mechanical ventilation, was begun after 8 minutes of untreated cardiac arrest.",including,cardiopulmonary resuscitation,C-peptide immunoreactivity
CPR,"cardiopulmonary resuscitation is performed frequently by paramedics, emergency department personnel, and inpatient physicians.","CPR is performed frequently by paramedics, emergency department personnel, and inpatient physicians.","C-peptide immunoreactivity is performed frequently by paramedics, emergency department personnel, and inpatient physicians.",is,cardiopulmonary resuscitation,C-peptide immunoreactivity
CRP,The C-reactive protein is a strong predictor of cardiovascular events both in the general population and in patients with coronary artery disease.,The CRP is a strong predictor of cardiovascular events both in the general population and in patients with coronary artery disease.,The collagen-related peptide is a strong predictor of cardiovascular events both in the general population and in patients with coronary artery disease.,is,C-reactive protein,collagen-related peptide
CRP,Elevated C-reactive protein is a suggested risk marker for cardiovascular disease.,Elevated CRP is a suggested risk marker for cardiovascular disease.,Elevated collagen-related peptide is a suggested risk marker for cardiovascular disease.,is,C-reactive protein,collagen-related peptide
CSF,"Of 3726 cerebrospinal fluid culture samples analyzed, 1348 (217 patients) showed bacterial growth; of these 97 (obtained in 58 patients [9%]) were considered to represent an infection, 106 (in 68 patients [11%]) colonization, and 145 (in 91 patients [14%]) contamination.","Of 3726 CSF culture samples analyzed, 1348 (217 patients) showed bacterial growth; of these 97 (obtained in 58 patients [9%]) were considered to represent an infection, 106 (in 68 patients [11%]) colonization, and 145 (in 91 patients [14%]) contamination.","Of 3726 Colony-stimulating factor culture samples analyzed, 1348 (217 patients) showed bacterial growth; of these 97 (obtained in 58 patients [9%]) were considered to represent an infection, 106 (in 68 patients [11%]) colonization, and 145 (in 91 patients [14%]) contamination.",culture,cerebrospinal fluid,Colony-stimulating factor
CSF,"Diffuse cerebrospinal fluid enhancement following gadolinium administration is a rarely recognized phenomenon, and its mechanism is not fully understood.","Diffuse CSF enhancement following gadolinium administration is a rarely recognized phenomenon, and its mechanism is not fully understood.","Diffuse Colony-stimulating factor enhancement following gadolinium administration is a rarely recognized phenomenon, and its mechanism is not fully understood.",enhancement,cerebrospinal fluid,Colony-stimulating factor
CTA,"conditioned taste aversion, is a form of Pavlovian learning wherein a novel flavour is powerfully associated with subsequent feelings of illness, and is afterwards avoided.","CTA, is a form of Pavlovian learning wherein a novel flavour is powerfully associated with subsequent feelings of illness, and is afterwards avoided.","CT angiography, is a form of Pavlovian learning wherein a novel flavour is powerfully associated with subsequent feelings of illness, and is afterwards avoided.",is,conditioned taste aversion,CT angiography
CTA,conditioned taste aversion training during adolescence produces long-term effects on preventing high alcohol drinking behavior of P rats.,CTA training during adolescence produces long-term effects on preventing high alcohol drinking behavior of P rats.,CT angiography training during adolescence produces long-term effects on preventing high alcohol drinking behavior of P rats.,training,conditioned taste aversion,CT angiography
EBL,"The mean Estimated blood loss and serum hemoglobin decrease (preoperative to postoperative day 1) were lower in the NHT cohort than the non-NHT cohort: 160 mL and 2.4 g/dL vs. 317 mL and 3.1 g/dL, respectively.","The mean EBL and serum hemoglobin decrease (preoperative to postoperative day 1) were lower in the NHT cohort than the non-NHT cohort: 160 mL and 2.4 g/dL vs. 317 mL and 3.1 g/dL, respectively.","The mean enzootic bovine leukosis and serum hemoglobin decrease (preoperative to postoperative day 1) were lower in the NHT cohort than the non-NHT cohort: 160 mL and 2.4 g/dL vs. 317 mL and 3.1 g/dL, respectively.",and,Estimated blood loss,enzootic bovine leukosis
EBL,"OT, Estimated blood loss, length of stay, and catheterization time were also obtained.","OT, EBL, length of stay, and catheterization time were also obtained.","OT, enzootic bovine leukosis, length of stay, and catheterization time were also obtained.",length,Estimated blood loss,enzootic bovine leukosis
ECG,"The electrocardiogram revealed ST-elevation in leads II, III, and aVF and ST-depression in leads V3 to V6.","The ECG revealed ST-elevation in leads II, III, and aVF and ST-depression in leads V3 to V6.","The electrocardiographic revealed ST-elevation in leads II, III, and aVF and ST-depression in leads V3 to V6.",revealed,electrocardiogram,electrocardiographic
ECG,"BACKGROUND: electrocardiogram is one of the most popular tools for daily clinics and health checkup, and has been used for the National Survey on Circulatory Disorders to assess the health status in Japanese people.","BACKGROUND: ECG is one of the most popular tools for daily clinics and health checkup, and has been used for the National Survey on Circulatory Disorders to assess the health status in Japanese people.","BACKGROUND: electrocardiographic is one of the most popular tools for daily clinics and health checkup, and has been used for the National Survey on Circulatory Disorders to assess the health status in Japanese people.",is,electrocardiogram,electrocardiographic
