ABBR,Sentence_A,Sentence_B,Sentence_C,target,Primary_Expression,Alternative_Expression
ALS,Respiratory insufficiency is a problem that develops in nearly all people diagnosed with amyotrophic lateral sclerosis and.,Respiratory insufficiency is a problem that develops in nearly all people diagnosed with ALS and.,Respiratory insufficiency is a problem that develops in nearly all people diagnosed with advanced life support and.,and,amyotrophic lateral sclerosis,advanced life support
ALS,OBJECTIVES: There is currently no effective pharmacological treatment for amyotrophic lateral sclerosis and.,OBJECTIVES: There is currently no effective pharmacological treatment for ALS and.,OBJECTIVES: There is currently no effective pharmacological treatment for advanced life support and.,and,amyotrophic lateral sclerosis,advanced life support
AMA,"Of 6 patients complicated with PBC, four patients had PBC-specific antimitochondrial antibodies and.","Of 6 patients complicated with PBC, four patients had PBC-specific AMA and.","Of 6 patients complicated with PBC, four patients had PBC-specific American Medical Association and.",and,antimitochondrial antibodies,American Medical Association
AMA,These patients are characterized by PBC characteristic bileduct lesions and oftenly antimitochondrial antibodies therefore.,These patients are characterized by PBC characteristic bileduct lesions and oftenly AMA therefore.,These patients are characterized by PBC characteristic bileduct lesions and oftenly American Medical Association therefore.,therefore,antimitochondrial antibodies,American Medical Association
AML,The clinical course of ET is characterized by an increased incidence of thrombotic and hemorrhagic complications and an inherent tendency to progress into myelofibrosis or acute myeloid leukemia therefore.,The clinical course of ET is characterized by an increased incidence of thrombotic and hemorrhagic complications and an inherent tendency to progress into myelofibrosis or AML therefore.,The clinical course of ET is characterized by an increased incidence of thrombotic and hemorrhagic complications and an inherent tendency to progress into myelofibrosis or renal angiomyolipoma therefore.,therefore,acute myeloid leukemia,renal angiomyolipoma
AML,PURPOSE: Recent data suggest that tryptase is produced by blast cells in a group of patients with acute myeloid leukemia and.,PURPOSE: Recent data suggest that tryptase is produced by blast cells in a group of patients with AML and.,PURPOSE: Recent data suggest that tryptase is produced by blast cells in a group of patients with renal angiomyolipoma and.,and,acute myeloid leukemia,renal angiomyolipoma
AVF,The authors report on the case of a 28-year-old woman presenting with an intraosseous Arteriovenous fistula located in the left parietal bone.,The authors report on the case of a 28-year-old woman presenting with an intraosseous AVF located in the left parietal bone.,The authors report on the case of a 28-year-old woman presenting with an intraosseous abdominal visceral fat located in the left parietal bone.,located,Arteriovenous fistula,abdominal visceral fat
AVF,Venous mapping using venography has been considered to be the gold standard for identifying veins suitable for Arteriovenous fistula creation.,Venous mapping using venography has been considered to be the gold standard for identifying veins suitable for AVF creation.,Venous mapping using venography has been considered to be the gold standard for identifying veins suitable for abdominal visceral fat creation.,creation,Arteriovenous fistula,abdominal visceral fat
BMT,Our purpose was to describe the types and frequencies of altered dental development in pediatric patients following bone marrow transplantation therefore.,Our purpose was to describe the types and frequencies of altered dental development in pediatric patients following BMT therefore.,Our purpose was to describe the types and frequencies of altered dental development in pediatric patients following Bone Marrow Transplant therefore.,therefore,bone marrow transplantation,Bone Marrow Transplant
BMT,METHODS: We evaluated MSG sequential biopsies during cGVHD therapy in 14 allogeneic bone marrow transplantation patients.,METHODS: We evaluated MSG sequential biopsies during cGVHD therapy in 14 allogeneic BMT patients.,METHODS: We evaluated MSG sequential biopsies during cGVHD therapy in 14 allogeneic Bone Marrow Transplant patients.,patients,bone marrow transplantation,Bone Marrow Transplant
CHF,We will then examine the effects of exercise conditioning on these parameters in normal subjects and those with congestive heart failure therefore.,We will then examine the effects of exercise conditioning on these parameters in normal subjects and those with CHF therefore.,We will then examine the effects of exercise conditioning on these parameters in normal subjects and those with patients with chronic heart failure therefore.,therefore,congestive heart failure,patients with chronic heart failure
CHF,Bucindolol is a beta1 and beta2 adrenoceptor antagonist under development by Intercardia as a potential treatment for hypertension and congestive heart failure therefore.,Bucindolol is a beta1 and beta2 adrenoceptor antagonist under development by Intercardia as a potential treatment for hypertension and CHF therefore.,Bucindolol is a beta1 and beta2 adrenoceptor antagonist under development by Intercardia as a potential treatment for hypertension and patients with chronic heart failure therefore.,therefore,congestive heart failure,patients with chronic heart failure
CVA,Logistic regression indicated that poly-AED subjects were more likely to have a diagnosis of epilepsy/seizure (epi/sz) and less likely to have a diagnosis of cerebrovascular accident therefore.,Logistic regression indicated that poly-AED subjects were more likely to have a diagnosis of epilepsy/seizure (epi/sz) and less likely to have a diagnosis of CVA therefore.,Logistic regression indicated that poly-AED subjects were more likely to have a diagnosis of epilepsy/seizure (epi/sz) and less likely to have a diagnosis of Cough variant asthma therefore.,therefore,cerebrovascular accident,Cough variant asthma
CVA,"The most frequent organic pathology, for both DP and AS, was a severe traumatic brain injury, followed by cerebral anoxia/hypoxia, cerebrovascular accident and others.","The most frequent organic pathology, for both DP and AS, was a severe traumatic brain injury, followed by cerebral anoxia/hypoxia, CVA and others.","The most frequent organic pathology, for both DP and AS, was a severe traumatic brain injury, followed by cerebral anoxia/hypoxia, Cough variant asthma and others.",others,cerebrovascular accident,Cough variant asthma
CVI,Venous ulcer is a severe clinical manifestation of Chronic Venous Insufficiency and.,Venous ulcer is a severe clinical manifestation of CVI and.,Venous ulcer is a severe clinical manifestation of common variable immunodeficiency and.,and,Chronic Venous Insufficiency,common variable immunodeficiency
CVI,"The aim of this independent study was to demonstrate the rapidity of the clinical action of HR 0-(beta-hydroxyethyl)-rutosides, Venoruton (Novartis Consumer Health) in patients with Chronic Venous Insufficiency and.","The aim of this independent study was to demonstrate the rapidity of the clinical action of HR 0-(beta-hydroxyethyl)-rutosides, Venoruton (Novartis Consumer Health) in patients with CVI and.","The aim of this independent study was to demonstrate the rapidity of the clinical action of HR 0-(beta-hydroxyethyl)-rutosides, Venoruton (Novartis Consumer Health) in patients with common variable immunodeficiency and.",and,Chronic Venous Insufficiency,common variable immunodeficiency
CVS,"Since the first application of this technique to prenatal testing in the early 1970's, this procedure has proved to be highly reliable for identifying chromosome copy number abnormalities (aneuploidy) and large structural rearrangements in foetal cells obtained invasively by either amniocentesis or chorionic villus sampling therefore.","Since the first application of this technique to prenatal testing in the early 1970's, this procedure has proved to be highly reliable for identifying chromosome copy number abnormalities (aneuploidy) and large structural rearrangements in foetal cells obtained invasively by either amniocentesis or CVS therefore.","Since the first application of this technique to prenatal testing in the early 1970's, this procedure has proved to be highly reliable for identifying chromosome copy number abnormalities (aneuploidy) and large structural rearrangements in foetal cells obtained invasively by either amniocentesis or cardiovascular system therefore.",therefore,chorionic villus sampling,cardiovascular system
CVS,OBJECTIVE: This trial compared two instruments for transcervical chorionic villus sampling and.,OBJECTIVE: This trial compared two instruments for transcervical CVS and.,OBJECTIVE: This trial compared two instruments for transcervical cardiovascular system and.,and,chorionic villus sampling,cardiovascular system
DIC,Increased clotting was observed in isolated cases diagnosed with low-grade Disseminated intravascular coagulation and.,Increased clotting was observed in isolated cases diagnosed with low-grade DIC and.,Increased clotting was observed in isolated cases diagnosed with low-grade differential interference contrast and.,and,Disseminated intravascular coagulation,differential interference contrast
DIC,Tissues were collected and examined histologically to assess the presence of Disseminated intravascular coagulation therefore.,Tissues were collected and examined histologically to assess the presence of DIC therefore.,Tissues were collected and examined histologically to assess the presence of differential interference contrast therefore.,therefore,Disseminated intravascular coagulation,differential interference contrast
