ABBR,Sentence_A,Sentence_B,Sentence_C,target,Primary_Expression,Alternative_Expression
BAL,"AIM: Lignocaine, a topical anaesthetic agent, is generally used in variable concentrations usually between 2% and 4% on the vocal cords prior to flexible bronchoscopy and bronchoalveolar lavage procedures.","AIM: Lignocaine, a topical anaesthetic agent, is generally used in variable concentrations usually between 2% and 4% on the vocal cords prior to flexible bronchoscopy and BAL procedures.","AIM: Lignocaine, a topical anaesthetic agent, is generally used in variable concentrations usually between 2% and 4% on the vocal cords prior to flexible bronchoscopy and bioartificial liver procedures.",procedures,bronchoalveolar lavage,bioartificial liver
BAL,OBJECTIVE: To determine whether treatment of horses with antitussive agents before bronchoalveolar lavage reduces the frequency and intensity of the cough reflex during BAL .,OBJECTIVE: To determine whether treatment of horses with antitussive agents before BAL reduces the frequency and intensity of the cough reflex during BAL .,OBJECTIVE: To determine whether treatment of horses with antitussive agents before bioartificial liver reduces the frequency and intensity of the cough reflex during BAL .,reduces,bronchoalveolar lavage,bioartificial liver
BAL,"Legionella urinary antigen testing, which can only detect serogroup 1, and the first culture ofa bronchoalveolar lavage fluid sample were negative for Legionella.","Legionella urinary antigen testing, which can only detect serogroup 1, and the first culture ofa BAL fluid sample were negative for Legionella.","Legionella urinary antigen testing, which can only detect serogroup 1, and the first culture ofa bioartificial liver fluid sample were negative for Legionella.",fluid,bronchoalveolar lavage,bioartificial liver
BAL,"Lung function tests and bronchoalveolar lavage were performed before and after these 3 courses, and patients were monitored for 1 y after the start of the treatment.","Lung function tests and BAL were performed before and after these 3 courses, and patients were monitored for 1 y after the start of the treatment.","Lung function tests and bioartificial liver were performed before and after these 3 courses, and patients were monitored for 1 y after the start of the treatment.",were,bronchoalveolar lavage,bioartificial liver
BAL,bronchoalveolar lavage is a minimally invasive method for exploring the distal lung.,BAL is a minimally invasive method for exploring the distal lung.,bioartificial liver is a minimally invasive method for exploring the distal lung.,is,bronchoalveolar lavage,bioartificial liver
BMI,Prevention should be applied as soon as weight gain raises too rapidly and as soon as body mass index is higher than P 97.,Prevention should be applied as soon as weight gain raises too rapidly and as soon as BMI is higher than P 97.,Prevention should be applied as soon as weight gain raises too rapidly and as soon as bicuculline methiodide is higher than P 97.,is,body mass index,bicuculline methiodide
BMI,"In women, the multivariate correlates of CRP included OC use (P<0.0001), body mass index (P<0.0001), triglycerides (<0.0001) and physical activity (P=0.025) (inverse association).","In women, the multivariate correlates of CRP included OC use (P<0.0001), BMI (P<0.0001), triglycerides (<0.0001) and physical activity (P=0.025) (inverse association).","In women, the multivariate correlates of CRP included OC use (P<0.0001), bicuculline methiodide (P<0.0001), triglycerides (<0.0001) and physical activity (P=0.025) (inverse association).",triglycerides,body mass index,bicuculline methiodide
BMI,The body mass index of YF was significantly lower than both M and OF.,The BMI of YF was significantly lower than both M and OF.,The bicuculline methiodide of YF was significantly lower than both M and OF.,of,body mass index,bicuculline methiodide
BMI,"Their adiposity was described using body mass index, waist circumference, and waist to hip ratio.","Their adiposity was described using BMI, waist circumference, and waist to hip ratio.","Their adiposity was described using bicuculline methiodide, waist circumference, and waist to hip ratio.",waist,body mass index,bicuculline methiodide
BMI,OBJECTIVE: The authors sought to estimate the prevalence of overweight and risk for overweight and to examine relationships between body mass index and socioeconomic and demographic characteristics among children in Philadelphia and four neighboring counties.,OBJECTIVE: The authors sought to estimate the prevalence of overweight and risk for overweight and to examine relationships between BMI and socioeconomic and demographic characteristics among children in Philadelphia and four neighboring counties.,OBJECTIVE: The authors sought to estimate the prevalence of overweight and risk for overweight and to examine relationships between bicuculline methiodide and socioeconomic and demographic characteristics among children in Philadelphia and four neighboring counties.,socioeconomic,body mass index,bicuculline methiodide
CML,"It is commonly held that PV is a rare disorder, when in fact with a minimum incidence of 2.6 per 100,000 it is more common than chronic myelogenous leukemia and is particularly prevalent in persons of Ashkenazi Jewish ancestry.","It is commonly held that PV is a rare disorder, when in fact with a minimum incidence of 2.6 per 100,000 it is more common than CML and is particularly prevalent in persons of Ashkenazi Jewish ancestry.","It is commonly held that PV is a rare disorder, when in fact with a minimum incidence of 2.6 per 100,000 it is more common than cell-mediated lympholysis and is particularly prevalent in persons of Ashkenazi Jewish ancestry.",and,chronic myelogenous leukemia,cell-mediated lympholysis
CML,A phase I study of PEG-IFN was conducted in patients with chronic myelogenous leukemia who were previously treated with IFN-alpha to evaluate the effect of sustained exposure to IFN on patients with CML .,A phase I study of PEG-IFN was conducted in patients with CML who were previously treated with IFN-alpha to evaluate the effect of sustained exposure to IFN on patients with CML .,A phase I study of PEG-IFN was conducted in patients with cell-mediated lympholysis who were previously treated with IFN-alpha to evaluate the effect of sustained exposure to IFN on patients with CML .,who,chronic myelogenous leukemia,cell-mediated lympholysis
CML,One hundred and ten patients with Philadelphia chromosome (Ph)-positive chronic phase chronic myelogenous leukemia post-interferon-a failure treated with imatinib mesylate therapy were analyzed for the prognostic significance of marrow reticulin stain-measured fibrosis.,One hundred and ten patients with Philadelphia chromosome (Ph)-positive chronic phase CML post-interferon-a failure treated with imatinib mesylate therapy were analyzed for the prognostic significance of marrow reticulin stain-measured fibrosis.,One hundred and ten patients with Philadelphia chromosome (Ph)-positive chronic phase cell-mediated lympholysis post-interferon-a failure treated with imatinib mesylate therapy were analyzed for the prognostic significance of marrow reticulin stain-measured fibrosis.,post,chronic myelogenous leukemia,cell-mediated lympholysis
CML,"Imatinib mesylate, a signal transduction inhibitor molecule, has been introduced in the treatment of chronic myelogenous leukemia since May 2001.","Imatinib mesylate, a signal transduction inhibitor molecule, has been introduced in the treatment of CML since May 2001.","Imatinib mesylate, a signal transduction inhibitor molecule, has been introduced in the treatment of cell-mediated lympholysis since May 2001.",since,chronic myelogenous leukemia,cell-mediated lympholysis
CML,"Our results can explain the absence of clonal myeloproliferative disorders in mice (lifetime, 2 years), are consistent with clinical observations in cats, and provide insight into the progression of chronic myelogenous leukemia in humans.","Our results can explain the absence of clonal myeloproliferative disorders in mice (lifetime, 2 years), are consistent with clinical observations in cats, and provide insight into the progression of CML in humans.","Our results can explain the absence of clonal myeloproliferative disorders in mice (lifetime, 2 years), are consistent with clinical observations in cats, and provide insight into the progression of cell-mediated lympholysis in humans.",humans,chronic myelogenous leukemia,cell-mediated lympholysis
CMS,"Furthermore, we reported the presence of a pollen fertility-restoring gene (Rf) for cytoplasmic male sterility in A. fistulosum from segregation of pollen fertility of backcross progenies.","Furthermore, we reported the presence of a pollen fertility-restoring gene (Rf) for CMS in A. fistulosum from segregation of pollen fertility of backcross progenies.","Furthermore, we reported the presence of a pollen fertility-restoring gene (Rf) for chronic mild stress in A. fistulosum from segregation of pollen fertility of backcross progenies.",in,cytoplasmic male sterility,chronic mild stress
CMS,"cytoplasmic male sterility is a mitochondrially encoded trait, which is characterized by a failure of plants to produce viable pollen.","CMS is a mitochondrially encoded trait, which is characterized by a failure of plants to produce viable pollen.","chronic mild stress is a mitochondrially encoded trait, which is characterized by a failure of plants to produce viable pollen.",is,cytoplasmic male sterility,chronic mild stress
CMS,cytoplasmic male sterility is a maternally inherited defect in pollen production specified by novel mitochondrial genes.,CMS is a maternally inherited defect in pollen production specified by novel mitochondrial genes.,chronic mild stress is a maternally inherited defect in pollen production specified by novel mitochondrial genes.,is,cytoplasmic male sterility,chronic mild stress
CMS,"The objective of this research was to develop STS markers tightly linked with Rf1, the fertility restoring gene for cytoplasmic male sterility in cotton (Gossypium hirsutum L.).","The objective of this research was to develop STS markers tightly linked with Rf1, the fertility restoring gene for CMS in cotton (Gossypium hirsutum L.).","The objective of this research was to develop STS markers tightly linked with Rf1, the fertility restoring gene for chronic mild stress in cotton (Gossypium hirsutum L.).",in,cytoplasmic male sterility,chronic mild stress
CMS,"In Brassica species, alloplasmic lines displaying cytoplasmic male sterility are established by combining the nucleus from B. rapa with the cytoplasm from Diplotaxis muralis.","In Brassica species, alloplasmic lines displaying CMS are established by combining the nucleus from B. rapa with the cytoplasm from Diplotaxis muralis.","In Brassica species, alloplasmic lines displaying chronic mild stress are established by combining the nucleus from B. rapa with the cytoplasm from Diplotaxis muralis.",are,cytoplasmic male sterility,chronic mild stress
CSF,"In both cases, MR imaging confirmed that each EAFC was subdural, resembled cerebrospinal fluid, and had distorted the superior cerebellum anteroinferiorly.","In both cases, MR imaging confirmed that each EAFC was subdural, resembled CSF, and had distorted the superior cerebellum anteroinferiorly.","In both cases, MR imaging confirmed that each EAFC was subdural, resembled Colony-stimulating factor, and had distorted the superior cerebellum anteroinferiorly.",and,cerebrospinal fluid,Colony-stimulating factor
CSF,The authors therefore reviewed their experience with subdural fluid collections in 40 consecutive patients with spontaneous spinal cerebrospinal fluid leaks and intracranial hypotension.,The authors therefore reviewed their experience with subdural fluid collections in 40 consecutive patients with spontaneous spinal CSF leaks and intracranial hypotension.,The authors therefore reviewed their experience with subdural fluid collections in 40 consecutive patients with spontaneous spinal Colony-stimulating factor leaks and intracranial hypotension.,leaks,cerebrospinal fluid,Colony-stimulating factor
CSF,"Of 3726 cerebrospinal fluid culture samples analyzed, 1348 (217 patients) showed bacterial growth; of these 97 (obtained in 58 patients [9%]) were considered to represent an infection, 106 (in 68 patients [11%]) colonization, and 145 (in 91 patients [14%]) contamination.","Of 3726 CSF culture samples analyzed, 1348 (217 patients) showed bacterial growth; of these 97 (obtained in 58 patients [9%]) were considered to represent an infection, 106 (in 68 patients [11%]) colonization, and 145 (in 91 patients [14%]) contamination.","Of 3726 Colony-stimulating factor culture samples analyzed, 1348 (217 patients) showed bacterial growth; of these 97 (obtained in 58 patients [9%]) were considered to represent an infection, 106 (in 68 patients [11%]) colonization, and 145 (in 91 patients [14%]) contamination.",culture,cerebrospinal fluid,Colony-stimulating factor
CSF,An observable intraoperative cerebrospinal fluid leak was strongly associated with an increased incidence of both transient (33.3%) and persistent (4.4%) DI.,An observable intraoperative CSF leak was strongly associated with an increased incidence of both transient (33.3%) and persistent (4.4%) DI.,An observable intraoperative Colony-stimulating factor leak was strongly associated with an increased incidence of both transient (33.3%) and persistent (4.4%) DI.,leak,cerebrospinal fluid,Colony-stimulating factor
CSF,"Diffuse cerebrospinal fluid enhancement following gadolinium administration is a rarely recognized phenomenon, and its mechanism is not fully understood.","Diffuse CSF enhancement following gadolinium administration is a rarely recognized phenomenon, and its mechanism is not fully understood.","Diffuse Colony-stimulating factor enhancement following gadolinium administration is a rarely recognized phenomenon, and its mechanism is not fully understood.",enhancement,cerebrospinal fluid,Colony-stimulating factor
CTA,This study used immunohistochemical methods to determine if the medial prefrontal cortex (mPFC) is involved in the extinction of a conditioned taste aversion and.,This study used immunohistochemical methods to determine if the medial prefrontal cortex (mPFC) is involved in the extinction of a CTA and.,This study used immunohistochemical methods to determine if the medial prefrontal cortex (mPFC) is involved in the extinction of a CT angiography and.,and,conditioned taste aversion,CT angiography
CTA,"conditioned taste aversion, is a form of Pavlovian learning wherein a novel flavour is powerfully associated with subsequent feelings of illness, and is afterwards avoided.","CTA, is a form of Pavlovian learning wherein a novel flavour is powerfully associated with subsequent feelings of illness, and is afterwards avoided.","CT angiography, is a form of Pavlovian learning wherein a novel flavour is powerfully associated with subsequent feelings of illness, and is afterwards avoided.",is,conditioned taste aversion,CT angiography
CTA,A conditioned taste aversion paradigm was used in the present study to investigate whether CTA produced by exercise could be attenuated by the 5-HT(3) receptor antagonist granisetron.,A CTA paradigm was used in the present study to investigate whether CTA produced by exercise could be attenuated by the 5-HT(3) receptor antagonist granisetron.,A CT angiography paradigm was used in the present study to investigate whether CTA produced by exercise could be attenuated by the 5-HT(3) receptor antagonist granisetron.,paradigm,conditioned taste aversion,CT angiography
CTA,"In conditioned taste aversion, the animals learn to avoid a taste substance (conditioned stimulus, CS) which was previously associated with visceral distress (unconditioned stimulus, US).","In CTA, the animals learn to avoid a taste substance (conditioned stimulus, CS) which was previously associated with visceral distress (unconditioned stimulus, US).","In CT angiography, the animals learn to avoid a taste substance (conditioned stimulus, CS) which was previously associated with visceral distress (unconditioned stimulus, US).",the,conditioned taste aversion,CT angiography
CTA,conditioned taste aversion training during adolescence produces long-term effects on preventing high alcohol drinking behavior of P rats.,CTA training during adolescence produces long-term effects on preventing high alcohol drinking behavior of P rats.,CT angiography training during adolescence produces long-term effects on preventing high alcohol drinking behavior of P rats.,training,conditioned taste aversion,CT angiography
CVS,"Since the first application of this technique to prenatal testing in the early 1970's, this procedure has proved to be highly reliable for identifying chromosome copy number abnormalities (aneuploidy) and large structural rearrangements in foetal cells obtained invasively by either amniocentesis or chorionic villus sampling therefore.","Since the first application of this technique to prenatal testing in the early 1970's, this procedure has proved to be highly reliable for identifying chromosome copy number abnormalities (aneuploidy) and large structural rearrangements in foetal cells obtained invasively by either amniocentesis or CVS therefore.","Since the first application of this technique to prenatal testing in the early 1970's, this procedure has proved to be highly reliable for identifying chromosome copy number abnormalities (aneuploidy) and large structural rearrangements in foetal cells obtained invasively by either amniocentesis or cardiovascular system therefore.",therefore,chorionic villus sampling,cardiovascular system
CVS,METHODS: The GSV was measured using three-dimensional (3D) ultrasound in 500 consecutive singleton pregnancies immediately before chorionic villus sampling for fetal karyotyping at 11 to 13 + 6 (median 12) weeks of gestation.,METHODS: The GSV was measured using three-dimensional (3D) ultrasound in 500 consecutive singleton pregnancies immediately before CVS for fetal karyotyping at 11 to 13 + 6 (median 12) weeks of gestation.,METHODS: The GSV was measured using three-dimensional (3D) ultrasound in 500 consecutive singleton pregnancies immediately before cardiovascular system for fetal karyotyping at 11 to 13 + 6 (median 12) weeks of gestation.,for,chorionic villus sampling,cardiovascular system
CVS,OBJECTIVE: This trial compared two instruments for transcervical chorionic villus sampling and.,OBJECTIVE: This trial compared two instruments for transcervical CVS and.,OBJECTIVE: This trial compared two instruments for transcervical cardiovascular system and.,and,chorionic villus sampling,cardiovascular system
CVS,"METHODS: Using subjects recruited during a randomized trial funded by the National Institute of Child Health and Human Development, which compared early amniocentesis and late transabdominal chorionic villus sampling in weeks 13 and 14, rates of gestational hypertension and preeclampsia were compared between cases with varying degrees of placental disruption.","METHODS: Using subjects recruited during a randomized trial funded by the National Institute of Child Health and Human Development, which compared early amniocentesis and late transabdominal CVS in weeks 13 and 14, rates of gestational hypertension and preeclampsia were compared between cases with varying degrees of placental disruption.","METHODS: Using subjects recruited during a randomized trial funded by the National Institute of Child Health and Human Development, which compared early amniocentesis and late transabdominal cardiovascular system in weeks 13 and 14, rates of gestational hypertension and preeclampsia were compared between cases with varying degrees of placental disruption.",in,chorionic villus sampling,cardiovascular system
CVS,"To examine the potential impact of an individual risk-orientated two-stage approach to first-trimester screening it was assumed that, after first-trimester combined screening, chorionic villus sampling would be performed in all patients with a risk estimate of 1 in 100 or more and in none of those with a risk estimate of less than 1 in 1000.","To examine the potential impact of an individual risk-orientated two-stage approach to first-trimester screening it was assumed that, after first-trimester combined screening, CVS would be performed in all patients with a risk estimate of 1 in 100 or more and in none of those with a risk estimate of less than 1 in 1000.","To examine the potential impact of an individual risk-orientated two-stage approach to first-trimester screening it was assumed that, after first-trimester combined screening, cardiovascular system would be performed in all patients with a risk estimate of 1 in 100 or more and in none of those with a risk estimate of less than 1 in 1000.",would,chorionic villus sampling,cardiovascular system
DIC,"Massive bee envenomations can result in immediate onset of shock, hemolysis, rhabdomyolysis, Disseminated intravascular coagulation, coma, and renal failure.","Massive bee envenomations can result in immediate onset of shock, hemolysis, rhabdomyolysis, DIC, coma, and renal failure.","Massive bee envenomations can result in immediate onset of shock, hemolysis, rhabdomyolysis, differential interference contrast, coma, and renal failure.",coma,Disseminated intravascular coagulation,differential interference contrast
DIC,It tends to bleed with Disseminated intravascular coagulation and intracranial hemorrhage complication is often fatal.,It tends to bleed with DIC and intracranial hemorrhage complication is often fatal.,It tends to bleed with differential interference contrast and intracranial hemorrhage complication is often fatal.,and,Disseminated intravascular coagulation,differential interference contrast
DIC,"During endotoxaemia, lipopolysaccharide (LPS, endotoxin) and proinflammatory cytokines trigger the development of Disseminated intravascular coagulation via the tissue factor-dependent pathway of coagulation.","During endotoxaemia, lipopolysaccharide (LPS, endotoxin) and proinflammatory cytokines trigger the development of DIC via the tissue factor-dependent pathway of coagulation.","During endotoxaemia, lipopolysaccharide (LPS, endotoxin) and proinflammatory cytokines trigger the development of differential interference contrast via the tissue factor-dependent pathway of coagulation.",via,Disseminated intravascular coagulation,differential interference contrast
DIC,Increased clotting was observed in isolated cases diagnosed with low-grade Disseminated intravascular coagulation and.,Increased clotting was observed in isolated cases diagnosed with low-grade DIC and.,Increased clotting was observed in isolated cases diagnosed with low-grade differential interference contrast and.,and,Disseminated intravascular coagulation,differential interference contrast
DIC,Tissues were collected and examined histologically to assess the presence of Disseminated intravascular coagulation therefore.,Tissues were collected and examined histologically to assess the presence of DIC therefore.,Tissues were collected and examined histologically to assess the presence of differential interference contrast therefore.,therefore,Disseminated intravascular coagulation,differential interference contrast
DIP,"We investigated the association of 7 novel SNP located downstream of the IL-10 transcription start site: -2849,-2763, -1330, -1082, -819, and -592, constituting the 4 ancient haplotypes, with distal interphalangeal OA.","We investigated the association of 7 novel SNP located downstream of the IL-10 transcription start site: -2849,-2763, -1330, -1082, -819, and -592, constituting the 4 ancient haplotypes, with DIP OA.","We investigated the association of 7 novel SNP located downstream of the IL-10 transcription start site: -2849,-2763, -1330, -1082, -819, and -592, constituting the 4 ancient haplotypes, with Desquamative interstitial pneumonia OA.",OA,distal interphalangeal,Desquamative interstitial pneumonia
DIP,"Twelve patients were onychopathic, of whom 11 showed distal interphalangeal joint arthritis.","Twelve patients were onychopathic, of whom 11 showed DIP joint arthritis.","Twelve patients were onychopathic, of whom 11 showed Desquamative interstitial pneumonia joint arthritis.",joint,distal interphalangeal,Desquamative interstitial pneumonia
DIP,"On physical examination, the cascade of the fingers will be disrupted, and distal interphalangeal joint flexion must be isolated to determine if the FDP tendon is continuous, as other mechanisms are present to enable finger flexion at the other joints.","On physical examination, the cascade of the fingers will be disrupted, and DIP joint flexion must be isolated to determine if the FDP tendon is continuous, as other mechanisms are present to enable finger flexion at the other joints.","On physical examination, the cascade of the fingers will be disrupted, and Desquamative interstitial pneumonia joint flexion must be isolated to determine if the FDP tendon is continuous, as other mechanisms are present to enable finger flexion at the other joints.",joint,distal interphalangeal,Desquamative interstitial pneumonia
DIP,The force in the DDFT was calculated by assuming that the extending moment at the distal interphalangeal joint resulting from the GRF was equal to the flexing moment created by the force in the DDFT during the stance phase (inverse dynamics).,The force in the DDFT was calculated by assuming that the extending moment at the DIP joint resulting from the GRF was equal to the flexing moment created by the force in the DDFT during the stance phase (inverse dynamics).,The force in the DDFT was calculated by assuming that the extending moment at the Desquamative interstitial pneumonia joint resulting from the GRF was equal to the flexing moment created by the force in the DDFT during the stance phase (inverse dynamics).,joint,distal interphalangeal,Desquamative interstitial pneumonia
DIP,"RESULTS: Anti-CCP were detected in 16/102 patients, 8/68 with symmetric polyarthritis, 1/8 with asymmetric polyarthritis, 2/20 with mono-oligoarthritis, 1/2 with mutilating arthritis, and 0/4 with exclusive axial or distal interphalangeal involvement.","RESULTS: Anti-CCP were detected in 16/102 patients, 8/68 with symmetric polyarthritis, 1/8 with asymmetric polyarthritis, 2/20 with mono-oligoarthritis, 1/2 with mutilating arthritis, and 0/4 with exclusive axial or DIP involvement.","RESULTS: Anti-CCP were detected in 16/102 patients, 8/68 with symmetric polyarthritis, 1/8 with asymmetric polyarthritis, 2/20 with mono-oligoarthritis, 1/2 with mutilating arthritis, and 0/4 with exclusive axial or Desquamative interstitial pneumonia involvement.",involvement,distal interphalangeal,Desquamative interstitial pneumonia
LDL,"In addition to reducing serum total and low-density lipoprotein cholesterol (p<0.0001), statin treatment was associated with a significant reduction in mean serum zinc (9%, p = 0.03), copper (9%, p<0.01), caeruloplasmin (24%, p<0.05), and median CRP (45%, p<0.03).","In addition to reducing serum total and LDL cholesterol (p<0.0001), statin treatment was associated with a significant reduction in mean serum zinc (9%, p = 0.03), copper (9%, p<0.01), caeruloplasmin (24%, p<0.05), and median CRP (45%, p<0.03).","In addition to reducing serum total and loudness discomfort level cholesterol (p<0.0001), statin treatment was associated with a significant reduction in mean serum zinc (9%, p = 0.03), copper (9%, p<0.01), caeruloplasmin (24%, p<0.05), and median CRP (45%, p<0.03).",cholesterol,low-density lipoprotein,loudness discomfort level
LDL,OBJECT: Reactive species of oxygen and nitrogen mediate the oxidative modification of low-density lipoprotein therefore.,OBJECT: Reactive species of oxygen and nitrogen mediate the oxidative modification of LDL therefore.,OBJECT: Reactive species of oxygen and nitrogen mediate the oxidative modification of loudness discomfort level therefore.,therefore,low-density lipoprotein,loudness discomfort level
LDL,"Elevated time-averaged WSSG was found at the same region, where the elevated low-density lipoprotein permeability was observed as reported in the literature.","Elevated time-averaged WSSG was found at the same region, where the elevated LDL permeability was observed as reported in the literature.","Elevated time-averaged WSSG was found at the same region, where the elevated loudness discomfort level permeability was observed as reported in the literature.",permeability,low-density lipoprotein,loudness discomfort level
LDL,Total and low-density lipoprotein cholesterol levels are usually normal if glycemic control is adequate but LDL particles are small and dense.,Total and LDL cholesterol levels are usually normal if glycemic control is adequate but LDL particles are small and dense.,Total and loudness discomfort level cholesterol levels are usually normal if glycemic control is adequate but LDL particles are small and dense.,cholesterol,low-density lipoprotein,loudness discomfort level
LDL,CONTEXT: Serum total and low-density lipoprotein cholesterol contribute significantly to atherosclerosis and its clinical sequelae.,CONTEXT: Serum total and LDL cholesterol contribute significantly to atherosclerosis and its clinical sequelae.,CONTEXT: Serum total and loudness discomfort level cholesterol contribute significantly to atherosclerosis and its clinical sequelae.,cholesterol,low-density lipoprotein,loudness discomfort level
MCA,"Patients experiencing malignant stroke of the middle cerebral artery have a high mortality related to cerebral edema, increased ICP, and subsequent cerebral herniation.","Patients experiencing malignant stroke of the MCA have a high mortality related to cerebral edema, increased ICP, and subsequent cerebral herniation.","Patients experiencing malignant stroke of the monoclonal antibodies have a high mortality related to cerebral edema, increased ICP, and subsequent cerebral herniation.",have,middle cerebral artery,monoclonal antibodies
MCA,Carotid angiography demonstrated occlusion of the left ascending frontal artery complex and retention of contrast medium at the bifurcation of the left middle cerebral artery therefore.,Carotid angiography demonstrated occlusion of the left ascending frontal artery complex and retention of contrast medium at the bifurcation of the left MCA therefore.,Carotid angiography demonstrated occlusion of the left ascending frontal artery complex and retention of contrast medium at the bifurcation of the left monoclonal antibodies therefore.,therefore,middle cerebral artery,monoclonal antibodies
MCA,"In the current study the authors report on a patient who presented with the acute onset of headache, vomiting, a depressed level of consciousness, and a left hemiparesis and in whom a right middle cerebral artery territory ischemic stroke with hemorrhagic conversion was initially diagnosed.","In the current study the authors report on a patient who presented with the acute onset of headache, vomiting, a depressed level of consciousness, and a left hemiparesis and in whom a right MCA territory ischemic stroke with hemorrhagic conversion was initially diagnosed.","In the current study the authors report on a patient who presented with the acute onset of headache, vomiting, a depressed level of consciousness, and a left hemiparesis and in whom a right monoclonal antibodies territory ischemic stroke with hemorrhagic conversion was initially diagnosed.",territory,middle cerebral artery,monoclonal antibodies
MCA,METHODS: Ischemic brain injury was induced in rats by injecting a preformed blood clot in the middle cerebral artery and.,METHODS: Ischemic brain injury was induced in rats by injecting a preformed blood clot in the MCA and.,METHODS: Ischemic brain injury was induced in rats by injecting a preformed blood clot in the monoclonal antibodies and.,and,middle cerebral artery,monoclonal antibodies
MCA,"Six days after capsule implantation, the right middle cerebral artery was occluded.","Six days after capsule implantation, the right MCA was occluded.","Six days after capsule implantation, the right monoclonal antibodies was occluded.",was,middle cerebral artery,monoclonal antibodies
