ABBR,Sentence_A,Sentence_B,Sentence_C,target,Primary_Expression,Alternative_Expression
ABR,Auditory brainstem response thresholds were used to evaluate auditory function in mice carrying the Frings Mgr1 allele and were compared with other AGS-susceptible and -resistant mice.,ABR thresholds were used to evaluate auditory function in mice carrying the Frings Mgr1 allele and were compared with other AGS-susceptible and -resistant mice.,auditory brain stem response thresholds were used to evaluate auditory function in mice carrying the Frings Mgr1 allele and were compared with other AGS-susceptible and -resistant mice.,thresholds,,
ABR,"The Auditory brainstem response, a measure of neural synchrony, was used to estimate auditory sensitivity in the eastern screech owl (Megascops asio).","The ABR, a measure of neural synchrony, was used to estimate auditory sensitivity in the eastern screech owl (Megascops asio).","The auditory brain stem response, a measure of neural synchrony, was used to estimate auditory sensitivity in the eastern screech owl (Megascops asio).",a,,
ABR,Most ENT physicians who are not capable of behavioral testing tend to evaluate hearing of infants only from testing Auditory brainstem response and.,Most ENT physicians who are not capable of behavioral testing tend to evaluate hearing of infants only from testing ABR and.,Most ENT physicians who are not capable of behavioral testing tend to evaluate hearing of infants only from testing auditory brain stem response and.,and,,
ABR,Otoacoustic emissions and Auditory brainstem response suggested the presence of auditory neuropathy in affected individuals.,Otoacoustic emissions and ABR suggested the presence of auditory neuropathy in affected individuals.,Otoacoustic emissions and auditory brain stem response suggested the presence of auditory neuropathy in affected individuals.,suggested,,
ABR,"CONCLUSIONS: Based on the Auditory brainstem response results obtained in this study, the incidence of deafness in children whose mothers had rubella during pregnancy is high (29.5%), and deafness is profound in most cases (80%).","CONCLUSIONS: Based on the ABR results obtained in this study, the incidence of deafness in children whose mothers had rubella during pregnancy is high (29.5%), and deafness is profound in most cases (80%).","CONCLUSIONS: Based on the auditory brain stem response results obtained in this study, the incidence of deafness in children whose mothers had rubella during pregnancy is high (29.5%), and deafness is profound in most cases (80%).",results,,
ACE,As angiotensin-converting enzyme activity controls angiotensin II there might be a rationale for the use of ACE inhibitors to prevent or treat ED.,As ACE activity controls angiotensin II there might be a rationale for the use of ACE inhibitors to prevent or treat ED.,As affinity capillary electrophoresis activity controls angiotensin II there might be a rationale for the use of ACE inhibitors to prevent or treat ED.,activity,,
ACE,"The aim of the present study was to assess the effect of treatment with the angiotensin II receptor blocker telmisartan for 24 weeks on myocardial structure and function in patients with essential hypertension, and the relationship between this effect and the structural polymorphism of the angiotensin-converting enzyme gene.","The aim of the present study was to assess the effect of treatment with the angiotensin II receptor blocker telmisartan for 24 weeks on myocardial structure and function in patients with essential hypertension, and the relationship between this effect and the structural polymorphism of the ACE gene.","The aim of the present study was to assess the effect of treatment with the angiotensin II receptor blocker telmisartan for 24 weeks on myocardial structure and function in patients with essential hypertension, and the relationship between this effect and the structural polymorphism of the affinity capillary electrophoresis gene.",gene,,
ACE,We examined the effects of enalapril ( angiotensin-converting enzyme inhibitor) or losartan (angiotensin AT1 receptor antagonist) on duodenal HCO3- secretion in rats and investigated the mechanisms involved in the renin-angiotensin system-related HCO3- response.,We examined the effects of enalapril ACE inhibitor) or losartan (angiotensin AT1 receptor antagonist) on duodenal HCO3- secretion in rats and investigated the mechanisms involved in the renin-angiotensin system-related HCO3- response.,We examined the effects of enalapril ( affinity capillary electrophoresis inhibitor) or losartan (angiotensin AT1 receptor antagonist) on duodenal HCO3- secretion in rats and investigated the mechanisms involved in the renin-angiotensin system-related HCO3- response.,inhibitor,,
ACE,"Using synthetic substrates for measuring angiotensin-converting enzyme and chymase activities, it was found that both ACE and chymase activities in extracts from SHR aortas were significantly higher than in those from WKY rat aortas.","Using synthetic substrates for measuring ACE and chymase activities, it was found that both ACE and chymase activities in extracts from SHR aortas were significantly higher than in those from WKY rat aortas.","Using synthetic substrates for measuring affinity capillary electrophoresis and chymase activities, it was found that both ACE and chymase activities in extracts from SHR aortas were significantly higher than in those from WKY rat aortas.",and,,
ACE,"angiotensin-converting enzyme inhibitors have demonstrated important advantages over conventional agents such as beta-blockers and thiazide diuretics, and have become a relevant part of treatment for heart failure post-myocardial infarction, left ventricular dysfunction and renal disease.","ACE inhibitors have demonstrated important advantages over conventional agents such as beta-blockers and thiazide diuretics, and have become a relevant part of treatment for heart failure post-myocardial infarction, left ventricular dysfunction and renal disease.","affinity capillary electrophoresis inhibitors have demonstrated important advantages over conventional agents such as beta-blockers and thiazide diuretics, and have become a relevant part of treatment for heart failure post-myocardial infarction, left ventricular dysfunction and renal disease.",inhibitors,,
ACL,"Additionally, femoral notch narrowing at the anterior cruciate ligament insertion site is associated with disease severity, but it is unknown whether ligament deterioration precedes or follows osteophyte formation.","Additionally, femoral notch narrowing at the ACL insertion site is associated with disease severity, but it is unknown whether ligament deterioration precedes or follows osteophyte formation.","Additionally, femoral notch narrowing at the American cutaneous leishmaniasis insertion site is associated with disease severity, but it is unknown whether ligament deterioration precedes or follows osteophyte formation.",insertion,,
ACL,This study reports the initial clinical results of 540 degrees of graft rotation or free tibial bone block to address graft tunnel mismatch in endoscopic anterior cruciate ligament reconstruction.,This study reports the initial clinical results of 540 degrees of graft rotation or free tibial bone block to address graft tunnel mismatch in endoscopic ACL reconstruction.,This study reports the initial clinical results of 540 degrees of graft rotation or free tibial bone block to address graft tunnel mismatch in endoscopic American cutaneous leishmaniasis reconstruction.,reconstruction,,
ACL,Four patients had anterior cruciate ligament tear.,Four patients had ACL tear.,Four patients had American cutaneous leishmaniasis tear.,tear,,
ACL,The press-fit fixation technique has become an alternative fixation method in anterior cruciate ligament reconstruction.,The press-fit fixation technique has become an alternative fixation method in ACL reconstruction.,The press-fit fixation technique has become an alternative fixation method in American cutaneous leishmaniasis reconstruction.,reconstruction,,
ACL,"Primary reconstruction of the anterior cruciate ligament restores knee stability in up to 95% of patients, but instability can recur.","Primary reconstruction of the ACL restores knee stability in up to 95% of patients, but instability can recur.","Primary reconstruction of the American cutaneous leishmaniasis restores knee stability in up to 95% of patients, but instability can recur.",restores,,
ADA,"The conformational models of the active site of Adenosine deaminase and its complexes in the basic state with adenosine and 13 isosteric analogues of the aza, deaza, and azadeaza series were constructed.","The conformational models of the active site of ADA and its complexes in the basic state with adenosine and 13 isosteric analogues of the aza, deaza, and azadeaza series were constructed.","The conformational models of the active site of Americans with Disabilities Act and its complexes in the basic state with adenosine and 13 isosteric analogues of the aza, deaza, and azadeaza series were constructed.",and,,
ADA,"The aim of this study was to evaluate the significance of RPT in tuberculosis pleurisy with the patients clinical findings, biochemical and microbiological properties of pleural effusion and with the total Adenosine deaminase and isoenzymes levels.","The aim of this study was to evaluate the significance of RPT in tuberculosis pleurisy with the patients clinical findings, biochemical and microbiological properties of pleural effusion and with the total ADA and isoenzymes levels.","The aim of this study was to evaluate the significance of RPT in tuberculosis pleurisy with the patients clinical findings, biochemical and microbiological properties of pleural effusion and with the total Americans with Disabilities Act and isoenzymes levels.",isoenzymes,,
ADA,OBJECTIVE: The aim of this study was to evaluate saliva's activities of Adenosine deaminase and 5'-nucleotidase (5'-NT) enzymes and their utility as diagnostic and therapeutic markers in oral and laryngeal cancer.,OBJECTIVE: The aim of this study was to evaluate saliva's activities of ADA and 5'-nucleotidase (5'-NT) enzymes and their utility as diagnostic and therapeutic markers in oral and laryngeal cancer.,OBJECTIVE: The aim of this study was to evaluate saliva's activities of Americans with Disabilities Act and 5'-nucleotidase (5'-NT) enzymes and their utility as diagnostic and therapeutic markers in oral and laryngeal cancer.,and,,
ADA,Characterization of Adenosine deaminase in hemolymph of Biomphalaria glabrata.,Characterization of ADA in hemolymph of Biomphalaria glabrata.,Characterization of Americans with Disabilities Act in hemolymph of Biomphalaria glabrata.,in,,
ADA,Adenosine deaminase is a key enzyme for the control of extra- and intra-cellular levels of adenosine.,ADA is a key enzyme for the control of extra- and intra-cellular levels of adenosine.,Americans with Disabilities Act is a key enzyme for the control of extra- and intra-cellular levels of adenosine.,is,,
ADL,Functional status was measured as Activities of Daily Living and instrumental ADL (I ADL ).,Functional status was measured as ADL and instrumental ADL (I ADL ).,Functional status was measured as activities of daily life and instrumental ADL (I ADL ).,and,,
ADL,"The UPDRS Activities of Daily Living and motor scores as well as the PDQ-39 total, mobility, ADL , emotional well-being, stigma, and bodily discomfort scores were significantly improved at 12 months compared with baseline scores; the UPDRS ADL and motor scores as well as the PDQ-39 total, mobility, ADL , stigma, and bodily discomfort scores were significantly improved at the longest follow-up examination compared with baseline scores.","The UPDRS ADL and motor scores as well as the PDQ-39 total, mobility, ADL , emotional well-being, stigma, and bodily discomfort scores were significantly improved at 12 months compared with baseline scores; the UPDRS ADL and motor scores as well as the PDQ-39 total, mobility, ADL , stigma, and bodily discomfort scores were significantly improved at the longest follow-up examination compared with baseline scores.","The UPDRS activities of daily life and motor scores as well as the PDQ-39 total, mobility, ADL , emotional well-being, stigma, and bodily discomfort scores were significantly improved at 12 months compared with baseline scores; the UPDRS ADL and motor scores as well as the PDQ-39 total, mobility, ADL , stigma, and bodily discomfort scores were significantly improved at the longest follow-up examination compared with baseline scores.",and,,
ADL,"Urinary incontinence and falls are serious problem among elderly people, because of restriction of the Activities of Daily Living and Quality of Life.","Urinary incontinence and falls are serious problem among elderly people, because of restriction of the ADL and Quality of Life.","Urinary incontinence and falls are serious problem among elderly people, because of restriction of the activities of daily life and Quality of Life.",Quality,,
ADL,"Postoperative control of the amount of sputum, and recovery and maintenance of ventilatory gas exchange become possible by early respiratory rehabilitation, leading to prevention of complications, recovery of Activities of Daily Living, and early discharge from hospital.","Postoperative control of the amount of sputum, and recovery and maintenance of ventilatory gas exchange become possible by early respiratory rehabilitation, leading to prevention of complications, recovery of ADL, and early discharge from hospital.","Postoperative control of the amount of sputum, and recovery and maintenance of ventilatory gas exchange become possible by early respiratory rehabilitation, leading to prevention of complications, recovery of activities of daily life, and early discharge from hospital.",discharge,,
ADL,"The objective of this study was to determine whether hospitalization predicts long-term Activities of Daily Living dependence in previously ADL independent, although disabled, older women.","The objective of this study was to determine whether hospitalization predicts long-term ADL dependence in previously ADL independent, although disabled, older women.","The objective of this study was to determine whether hospitalization predicts long-term activities of daily life dependence in previously ADL independent, although disabled, older women.",dependence,,
AFB,"USP-processed specimens were submitted to smear microscopy for detection of acid-fast bacilli, culture, and two PCR tests targeting devR (Rv3133c) and IS6110 gene sequences.","USP-processed specimens were submitted to smear microscopy for detection of AFB, culture, and two PCR tests targeting devR (Rv3133c) and IS6110 gene sequences.","USP-processed specimens were submitted to smear microscopy for detection of aflatoxin B1, culture, and two PCR tests targeting devR (Rv3133c) and IS6110 gene sequences.",culture,,
AFB,"The'gold standard'for confirmation of clinically diagnosed Buruli ulcer was a definite histological diagnosis, a positive culture for M. ulcerans, or a smear positive for acid-fast bacilli, together with a possible histological diagnosis.","The'gold standard'for confirmation of clinically diagnosed Buruli ulcer was a definite histological diagnosis, a positive culture for M. ulcerans, or a smear positive for AFB, together with a possible histological diagnosis.","The'gold standard'for confirmation of clinically diagnosed Buruli ulcer was a definite histological diagnosis, a positive culture for M. ulcerans, or a smear positive for aflatoxin B1, together with a possible histological diagnosis.",together,,
AFB,His chest X-ray film showed cavitation and direct microscopy of sputum revealed positive acid-fast bacilli therefore.,His chest X-ray film showed cavitation and direct microscopy of sputum revealed positive AFB therefore.,His chest X-ray film showed cavitation and direct microscopy of sputum revealed positive aflatoxin B1 therefore.,therefore,,
AFB,"The isolation of acid-fast bacilli from sputa of some in- and out-patients in hospitals and health centers revealed the presence of Mycobacterium tuberculosis in 420 (31.7%) out of the 1,324 patients examined during a TB outbreak.","The isolation of AFB from sputa of some in- and out-patients in hospitals and health centers revealed the presence of Mycobacterium tuberculosis in 420 (31.7%) out of the 1,324 patients examined during a TB outbreak.","The isolation of aflatoxin B1 from sputa of some in- and out-patients in hospitals and health centers revealed the presence of Mycobacterium tuberculosis in 420 (31.7%) out of the 1,324 patients examined during a TB outbreak.",from,,
AFB,METHODS: A young lean man was simulated to act as a TB patient and was provided with a chest X-ray suggestive of TB and two acid-fast bacilli positive sputum reports.,METHODS: A young lean man was simulated to act as a TB patient and was provided with a chest X-ray suggestive of TB and two AFB positive sputum reports.,METHODS: A young lean man was simulated to act as a TB patient and was provided with a chest X-ray suggestive of TB and two aflatoxin B1 positive sputum reports.,positive,,
AFP,PURPOSE: alpha-fetoprotein is a tumor-associated antigen in hepatocellular carcinoma and is a target for the development of cancer vaccine.,PURPOSE: AFP is a tumor-associated antigen in hepatocellular carcinoma and is a target for the development of cancer vaccine.,PURPOSE: acute flaccid paralysis is a tumor-associated antigen in hepatocellular carcinoma and is a target for the development of cancer vaccine.,is,,
AFP,"The changes in tumor size, main symptoms, serum level of alpha-fetoprotein, immune function and adverse reaction were observed after treatment and the immune parameters of the patients were compared with 30 healthy persons in the normal control group.","The changes in tumor size, main symptoms, serum level of AFP, immune function and adverse reaction were observed after treatment and the immune parameters of the patients were compared with 30 healthy persons in the normal control group.","The changes in tumor size, main symptoms, serum level of acute flaccid paralysis, immune function and adverse reaction were observed after treatment and the immune parameters of the patients were compared with 30 healthy persons in the normal control group.",immune,,
AFP,"Mean preoperative serum alpha-fetoprotein and beta-human chorionic gonadotropin (betaHCG) levels were 483 ng/mL and 555 mU/mL, respectively, with no difference in 5-year survival (P = .2).","Mean preoperative serum AFP and beta-human chorionic gonadotropin (betaHCG) levels were 483 ng/mL and 555 mU/mL, respectively, with no difference in 5-year survival (P = .2).","Mean preoperative serum acute flaccid paralysis and beta-human chorionic gonadotropin (betaHCG) levels were 483 ng/mL and 555 mU/mL, respectively, with no difference in 5-year survival (P = .2).",and,,
AFP,"After adjusting for serum levels of alpha-fetoprotein and HCV RNA, CHC, and ESRD were independently associated with lower frequencies of elevated alanine aminotransferase (ALT, OR = 0.175, p= 0.02) and aspartate aminotransferase (AST, OR = 0.169, p= 0.04), but higher frequencies of AST/ALT ratio >1 (OR = 7.173, p= 0.002) and hypoalbuminemia (OR = 9.567, p= 0.0007).","After adjusting for serum levels of AFP and HCV RNA, CHC, and ESRD were independently associated with lower frequencies of elevated alanine aminotransferase (ALT, OR = 0.175, p= 0.02) and aspartate aminotransferase (AST, OR = 0.169, p= 0.04), but higher frequencies of AST/ALT ratio >1 (OR = 7.173, p= 0.002) and hypoalbuminemia (OR = 9.567, p= 0.0007).","After adjusting for serum levels of acute flaccid paralysis and HCV RNA, CHC, and ESRD were independently associated with lower frequencies of elevated alanine aminotransferase (ALT, OR = 0.175, p= 0.02) and aspartate aminotransferase (AST, OR = 0.169, p= 0.04), but higher frequencies of AST/ALT ratio >1 (OR = 7.173, p= 0.002) and hypoalbuminemia (OR = 9.567, p= 0.0007).",and,,
AFP,"Nine clinicopathologic factors, preoperative alpha-fetoprotein level, liver cirrhosis, Child-Pugh score, tumor size (>2 cm vs.","Nine clinicopathologic factors, preoperative AFP level, liver cirrhosis, Child-Pugh score, tumor size (>2 cm vs.","Nine clinicopathologic factors, preoperative acute flaccid paralysis level, liver cirrhosis, Child-Pugh score, tumor size (>2 cm vs.",level,,
AGA,OBJECTIVE: To test the hypothesis that SGA infants have lower bone SOS than appropriate for gestational age infants and.,OBJECTIVE: To test the hypothesis that SGA infants have lower bone SOS than AGA infants and.,OBJECTIVE: To test the hypothesis that SGA infants have lower bone SOS than antigliadin antibodies infants and.,and,,
AGA,"STUDY DESIGN: We studied the effect of catecholamines, by local injection of isoproterenol, and the effect of insulin, using two-step infusion at 8 and 40 mU/m2/min, on the in situ lipolysis of the subcutaneous abdominal adipose tissue of 23 subjects born SGA and 23 born appropriate for gestational age, using the microdialysis technique.","STUDY DESIGN: We studied the effect of catecholamines, by local injection of isoproterenol, and the effect of insulin, using two-step infusion at 8 and 40 mU/m2/min, on the in situ lipolysis of the subcutaneous abdominal adipose tissue of 23 subjects born SGA and 23 born AGA, using the microdialysis technique.","STUDY DESIGN: We studied the effect of catecholamines, by local injection of isoproterenol, and the effect of insulin, using two-step infusion at 8 and 40 mU/m2/min, on the in situ lipolysis of the subcutaneous abdominal adipose tissue of 23 subjects born SGA and 23 born antigliadin antibodies, using the microdialysis technique.",microdialysis,,
AGA,"There were 198 (76.2%) appropriate for gestational age, 46 (17.7%) small for gestational age and 16 (6.2%) large for gestational age babies.","There were 198 (76.2%) AGA, 46 (17.7%) small for gestational age and 16 (6.2%) large for gestational age babies.","There were 198 (76.2%) antigliadin antibodies, 46 (17.7%) small for gestational age and 16 (6.2%) large for gestational age babies.",small,,
AGA,"Out of the remaining 403 term appropriate for gestational age infants, 46 had TGA while 28 had HLHS.","Out of the remaining 403 term AGA infants, 46 had TGA while 28 had HLHS.","Out of the remaining 403 term antigliadin antibodies infants, 46 had TGA while 28 had HLHS.",infants,,
AGA,Twelve short children born appropriate for gestational age were used as controls for the FSIGT's results only.,Twelve short children born AGA were used as controls for the FSIGT's results only.,Twelve short children born antigliadin antibodies were used as controls for the FSIGT's results only.,were,,
AICD,"activation-induced cell death in T lymphocytes depends on the expression of Fas-ligand, which triggers the apoptotic process after binding to its receptor Fas.","AICD in T lymphocytes depends on the expression of Fas-ligand, which triggers the apoptotic process after binding to its receptor Fas.","automatic implantable cardioverter defibrillator in T lymphocytes depends on the expression of Fas-ligand, which triggers the apoptotic process after binding to its receptor Fas.",in,,
AICD,They further suggest that an age-related impairment of Fas/Fas ligand (FasL)-mediated apoptosis - which plays a major role in activation-induced cell death of T cells - may contribute to compromised regulation of the immune system.,They further suggest that an age-related impairment of Fas/Fas ligand (FasL)-mediated apoptosis - which plays a major role in AICD of T cells - may contribute to compromised regulation of the immune system.,They further suggest that an age-related impairment of Fas/Fas ligand (FasL)-mediated apoptosis - which plays a major role in automatic implantable cardioverter defibrillator of T cells - may contribute to compromised regulation of the immune system.,T,,
AICD,Termination of an immune response requires elimination of activated T lymphocytes by activation-induced cell death and.,Termination of an immune response requires elimination of activated T lymphocytes by AICD and.,Termination of an immune response requires elimination of activated T lymphocytes by automatic implantable cardioverter defibrillator and.,and,,
AICD,Stimulation of MBP-reactive TCR transgenic T cells with a superagonist peptide led to extensive activation-induced cell death through Fas signaling.,Stimulation of MBP-reactive TCR transgenic T cells with a superagonist peptide led to extensive AICD through Fas signaling.,Stimulation of MBP-reactive TCR transgenic T cells with a superagonist peptide led to extensive automatic implantable cardioverter defibrillator through Fas signaling.,through,,
AICD,"By engaging Fas, Fas ligand (FasL) on activated T lymphocytes induces activation-induced cell death, and also triggers apoptosis of target cells during immune downregulation.","By engaging Fas, Fas ligand (FasL) on activated T lymphocytes induces AICD, and also triggers apoptosis of target cells during immune downregulation.","By engaging Fas, Fas ligand (FasL) on activated T lymphocytes induces automatic implantable cardioverter defibrillator, and also triggers apoptosis of target cells during immune downregulation.",and,,
ALD,The authors then focus on two special situations that create particular problems for transplantation teams: liver transplantation in patients with alcoholic liver disease and obesity in transplant patients.,The authors then focus on two special situations that create particular problems for transplantation teams: liver transplantation in patients with ALD and obesity in transplant patients.,The authors then focus on two special situations that create particular problems for transplantation teams: liver transplantation in patients with anterior latissimus dorsi and obesity in transplant patients.,and,,
ALD,"Thus, 3 years ago when we discovered higher rate of late deaths due to lung and oropharyngeal cancer in patients who had received a transplant for alcoholic liver disease, we hypothesized that these patients were continuing to expose themselves to tobacco after liver transplantation (post-LTX) and that this behavior was increasing their risk for cancer.","Thus, 3 years ago when we discovered higher rate of late deaths due to lung and oropharyngeal cancer in patients who had received a transplant for ALD, we hypothesized that these patients were continuing to expose themselves to tobacco after liver transplantation (post-LTX) and that this behavior was increasing their risk for cancer.","Thus, 3 years ago when we discovered higher rate of late deaths due to lung and oropharyngeal cancer in patients who had received a transplant for anterior latissimus dorsi, we hypothesized that these patients were continuing to expose themselves to tobacco after liver transplantation (post-LTX) and that this behavior was increasing their risk for cancer.",hypothesized,,
ALD,BACKGROUND: alcoholic liver disease is a serious and potentially fetal consequence of alcohol use.,BACKGROUND: ALD is a serious and potentially fetal consequence of alcohol use.,BACKGROUND: anterior latissimus dorsi is a serious and potentially fetal consequence of alcohol use.,is,,
ALD,"alcoholic liver disease is a major complication of heavy alcohol (EtOH) drinking and is characterized by three progressive stages of pathology: steatosis, steatohepatitis, and fibrosis/cirrhosis.","ALD is a major complication of heavy alcohol (EtOH) drinking and is characterized by three progressive stages of pathology: steatosis, steatohepatitis, and fibrosis/cirrhosis.","anterior latissimus dorsi is a major complication of heavy alcohol (EtOH) drinking and is characterized by three progressive stages of pathology: steatosis, steatohepatitis, and fibrosis/cirrhosis.",is,,
ALD,HCV patients listed for LT had worse QOL levels than the group of patients as a whole or the alcoholic liver disease patients; 2 and.,HCV patients listed for LT had worse QOL levels than the group of patients as a whole or the ALD patients; 2 and.,HCV patients listed for LT had worse QOL levels than the group of patients as a whole or the anterior latissimus dorsi patients; 2 and.,and,,
ALS,Respiratory insufficiency is a problem that develops in nearly all people diagnosed with amyotrophic lateral sclerosis and.,Respiratory insufficiency is a problem that develops in nearly all people diagnosed with ALS and.,Respiratory insufficiency is a problem that develops in nearly all people diagnosed with advanced life support and.,and,,
ALS,OBJECTIVES: There is currently no effective pharmacological treatment for amyotrophic lateral sclerosis and.,OBJECTIVES: There is currently no effective pharmacological treatment for ALS and.,OBJECTIVES: There is currently no effective pharmacological treatment for advanced life support and.,and,,
ALS,"Alzheimer's disease, and briefly summarize their possible roles in amyotrophic lateral sclerosis therefore.","Alzheimer's disease, and briefly summarize their possible roles in ALS therefore.","Alzheimer's disease, and briefly summarize their possible roles in advanced life support therefore.",therefore,,
ALS,"Recent studies indicate that minocycline exerts neuroprotective effects in vitro and in vivo, and suggest that the drug may represent a novel therapeutic approach to amyotrophic lateral sclerosis therefore.","Recent studies indicate that minocycline exerts neuroprotective effects in vitro and in vivo, and suggest that the drug may represent a novel therapeutic approach to ALS therefore.","Recent studies indicate that minocycline exerts neuroprotective effects in vitro and in vivo, and suggest that the drug may represent a novel therapeutic approach to advanced life support therefore.",therefore,,
ALS,The absence of any effective pharmacological treatment and preliminary data both in experimental and clinical settings has recently identified amyotrophic lateral sclerosis as an ideal candidate disease for the development of stem cell therapy in humans.,The absence of any effective pharmacological treatment and preliminary data both in experimental and clinical settings has recently identified ALS as an ideal candidate disease for the development of stem cell therapy in humans.,The absence of any effective pharmacological treatment and preliminary data both in experimental and clinical settings has recently identified advanced life support as an ideal candidate disease for the development of stem cell therapy in humans.,as,,
AMA,"Of 6 patients complicated with PBC, four patients had PBC-specific antimitochondrial antibodies and.","Of 6 patients complicated with PBC, four patients had PBC-specific AMA and.","Of 6 patients complicated with PBC, four patients had PBC-specific American Medical Association and.",and,,
AMA,"Diagnosis can be established by the triad antimitochondrial antibodies, cholestatic indices, and liver histology, diagnostic or compatible with PBC.","Diagnosis can be established by the triad AMA, cholestatic indices, and liver histology, diagnostic or compatible with PBC.","Diagnosis can be established by the triad American Medical Association, cholestatic indices, and liver histology, diagnostic or compatible with PBC.",cholestatic,,
AMA,Antibodies to liver-kidney-microsomes-1 (anti-LKM-1) and antimitochondrial antibodies were detected and semiquantified by immunofluorescence.,Antibodies to liver-kidney-microsomes-1 (anti-LKM-1) and AMA were detected and semiquantified by immunofluorescence.,Antibodies to liver-kidney-microsomes-1 (anti-LKM-1) and American Medical Association were detected and semiquantified by immunofluorescence.,were,,
AMA,These patients are characterized by PBC characteristic bileduct lesions and oftenly antimitochondrial antibodies therefore.,These patients are characterized by PBC characteristic bileduct lesions and oftenly AMA therefore.,These patients are characterized by PBC characteristic bileduct lesions and oftenly American Medical Association therefore.,therefore,,
AMA,"METHODS: We investigated the serum hepatobiliary enzymes, histopathological findings, and the target antigen of antimitochondrial antibodies in MRL/lpr mice.","METHODS: We investigated the serum hepatobiliary enzymes, histopathological findings, and the target antigen of AMA in MRL/lpr mice.","METHODS: We investigated the serum hepatobiliary enzymes, histopathological findings, and the target antigen of American Medical Association in MRL/lpr mice.",in,,
AML,The development of such drugs for the treatment of acute myeloid leukemia is ongoing.,The development of such drugs for the treatment of AML is ongoing.,The development of such drugs for the treatment of renal angiomyolipoma is ongoing.,is,,
