ABBR,Sentence_A,Sentence_B,Sentence_C,Sentence_A_Prime,Sentence_B_Prime,Sentence_C_Prime
ABR,Auditory brainstem response thresholds were used to evaluate auditory function in mice carrying the Frings Mgr1 allele and were compared with other AGS-susceptible and -resistant mice.,ABR thresholds were used to evaluate auditory function in mice carrying the Frings Mgr1 allele and were compared with other AGS-susceptible and -resistant mice.,auditory brain stem response thresholds were used to evaluate auditory function in mice carrying the Frings Mgr1 allele and were compared with other AGS-susceptible and -resistant mice.,"The aim of this study was to corroborate the correspondence between the MSSR generators elicited by amplitude modulated tones ranging between 80-100 Hz, with the generators of auditory brain stem response.","The aim of this study was to corroborate the correspondence between the MSSR generators elicited by amplitude modulated tones ranging between 80-100 Hz, with the generators of ABR.","The aim of this study was to corroborate the correspondence between the MSSR generators elicited by amplitude modulated tones ranging between 80-100 Hz, with the generators of Auditory brainstem response."
ABR,"The Auditory brainstem response, a measure of neural synchrony, was used to estimate auditory sensitivity in the eastern screech owl (Megascops asio).","The ABR, a measure of neural synchrony, was used to estimate auditory sensitivity in the eastern screech owl (Megascops asio).","The auditory brain stem response, a measure of neural synchrony, was used to estimate auditory sensitivity in the eastern screech owl (Megascops asio).","Before treatment, her auditory brain stem response test revealed bilateral prolongation.","Before treatment, her ABR test revealed bilateral prolongation.","Before treatment, her Auditory brainstem response test revealed bilateral prolongation."
ABR,Most ENT physicians who are not capable of behavioral testing tend to evaluate hearing of infants only from testing Auditory brainstem response.,Most ENT physicians who are not capable of behavioral testing tend to evaluate hearing of infants only from testing ABR.,Most ENT physicians who are not capable of behavioral testing tend to evaluate hearing of infants only from testing auditory brain stem response.,"Auditory threshold shifts at 1.5, 2, 3, 4, 6, 8, 12 und 16 kHz were registered before and immediately after exposure as well as on days 1, 2, 3, 5,7 and 21 post-exposure using the auditory brain stem response technique.","Auditory threshold shifts at 1.5, 2, 3, 4, 6, 8, 12 und 16 kHz were registered before and immediately after exposure as well as on days 1, 2, 3, 5,7 and 21 post-exposure using the ABR technique.","Auditory threshold shifts at 1.5, 2, 3, 4, 6, 8, 12 und 16 kHz were registered before and immediately after exposure as well as on days 1, 2, 3, 5,7 and 21 post-exposure using the Auditory brainstem response technique."
ABR,Otoacoustic emissions and Auditory brainstem response suggested the presence of auditory neuropathy in affected individuals.,Otoacoustic emissions and ABR suggested the presence of auditory neuropathy in affected individuals.,Otoacoustic emissions and auditory brain stem response suggested the presence of auditory neuropathy in affected individuals.,"Both underwent serial oculomotor assessment and an audiological battery, including visual reinforcement audiometry, otoacoustic emissions, and the auditory brain stem response.","Both underwent serial oculomotor assessment and an audiological battery, including visual reinforcement audiometry, otoacoustic emissions, and the ABR.","Both underwent serial oculomotor assessment and an audiological battery, including visual reinforcement audiometry, otoacoustic emissions, and the Auditory brainstem response."
ABR,"CONCLUSIONS: Based on the Auditory brainstem response results obtained in this study, the incidence of deafness in children whose mothers had rubella during pregnancy is high (29.5%), and deafness is profound in most cases (80%).","CONCLUSIONS: Based on the ABR results obtained in this study, the incidence of deafness in children whose mothers had rubella during pregnancy is high (29.5%), and deafness is profound in most cases (80%).","CONCLUSIONS: Based on the auditory brain stem response results obtained in this study, the incidence of deafness in children whose mothers had rubella during pregnancy is high (29.5%), and deafness is profound in most cases (80%).","In coordination with the Paediatrics Department, we drew up a protocol for the'Early Detection of Hearing Loss in High-Risk Neonates'based fundamentally on the sequential application of impedanciometry and the auditory brain stem response.","In coordination with the Paediatrics Department, we drew up a protocol for the'Early Detection of Hearing Loss in High-Risk Neonates'based fundamentally on the sequential application of impedanciometry and the ABR.","In coordination with the Paediatrics Department, we drew up a protocol for the'Early Detection of Hearing Loss in High-Risk Neonates'based fundamentally on the sequential application of impedanciometry and the Auditory brainstem response."
ACE,As angiotensin-converting enzyme activity controls angiotensin II there might be a rationale for the use of ACE inhibitors to prevent or treat ED.,As ACE activity controls angiotensin II there might be a rationale for the use of ACE inhibitors to prevent or treat ED.,As affinity capillary electrophoresis activity controls angiotensin II there might be a rationale for the use of ACE inhibitors to prevent or treat ED.,The interaction between SARS coronavirus 3C-like (3CL) proteinase and an octapeptide interf ACE inhibitor was studied by affinity capillary electrophoresis.,The interaction between SARS coronavirus 3C-like (3CL) proteinase and an octapeptide interf ACE inhibitor was studied by ACE.,The interaction between SARS coronavirus 3C-like (3CL) proteinase and an octapeptide interf ACE inhibitor was studied by angiotensin-converting enzyme.
ACE,"The aim of the present study was to assess the effect of treatment with the angiotensin II receptor blocker telmisartan for 24 weeks on myocardial structure and function in patients with essential hypertension, and the relationship between this effect and the structural polymorphism of the angiotensin-converting enzyme gene.","The aim of the present study was to assess the effect of treatment with the angiotensin II receptor blocker telmisartan for 24 weeks on myocardial structure and function in patients with essential hypertension, and the relationship between this effect and the structural polymorphism of the ACE gene.","The aim of the present study was to assess the effect of treatment with the angiotensin II receptor blocker telmisartan for 24 weeks on myocardial structure and function in patients with essential hypertension, and the relationship between this effect and the structural polymorphism of the affinity capillary electrophoresis gene.",affinity capillary electrophoresis is a robust tool for the study of noncovalent biomolecular interactions and to determine the binding constants.,ACE is a robust tool for the study of noncovalent biomolecular interactions and to determine the binding constants.,angiotensin-converting enzyme is a robust tool for the study of noncovalent biomolecular interactions and to determine the binding constants.
ACE,We examined the effects of enalapril ( angiotensin-converting enzyme inhibitor) or losartan (angiotensin AT1 receptor antagonist) on duodenal HCO3- secretion in rats and investigated the mechanisms involved in the renin-angiotensin system-related HCO3- response.,We examined the effects of enalapril ACE inhibitor) or losartan (angiotensin AT1 receptor antagonist) on duodenal HCO3- secretion in rats and investigated the mechanisms involved in the renin-angiotensin system-related HCO3- response.,We examined the effects of enalapril ( affinity capillary electrophoresis inhibitor) or losartan (angiotensin AT1 receptor antagonist) on duodenal HCO3- secretion in rats and investigated the mechanisms involved in the renin-angiotensin system-related HCO3- response.,The present study shows that the application of the method of affinity capillary electrophoresis to investigate interactions between ligands and their substrates can be realized on microchips.,The present study shows that the application of the method of ACE to investigate interactions between ligands and their substrates can be realized on microchips.,The present study shows that the application of the method of angiotensin-converting enzyme to investigate interactions between ligands and their substrates can be realized on microchips.
ACE,"Using synthetic substrates for measuring angiotensin-converting enzyme and chymase activities, it was found that both ACE and chymase activities in extracts from SHR aortas were significantly higher than in those from WKY rat aortas.","Using synthetic substrates for measuring ACE and chymase activities, it was found that both ACE and chymase activities in extracts from SHR aortas were significantly higher than in those from WKY rat aortas.","Using synthetic substrates for measuring affinity capillary electrophoresis and chymase activities, it was found that both ACE and chymase activities in extracts from SHR aortas were significantly higher than in those from WKY rat aortas.",A theoretical study supported by experimental data also demonstrates that the retention of analyte in affinity capillary electrophoresis using the partial-filling technique depends linearly on the absolute amount of selector added but is independent of both selector zone length and selector mobility.,A theoretical study supported by experimental data also demonstrates that the retention of analyte in ACE using the partial-filling technique depends linearly on the absolute amount of selector added but is independent of both selector zone length and selector mobility.,A theoretical study supported by experimental data also demonstrates that the retention of analyte in angiotensin-converting enzyme using the partial-filling technique depends linearly on the absolute amount of selector added but is independent of both selector zone length and selector mobility.
ACE,"angiotensin-converting enzyme inhibitors have demonstrated important advantages over conventional agents such as beta-blockers and thiazide diuretics, and have become a relevant part of treatment for heart failure post-myocardial infarction, left ventricular dysfunction and renal disease.","ACE inhibitors have demonstrated important advantages over conventional agents such as beta-blockers and thiazide diuretics, and have become a relevant part of treatment for heart failure post-myocardial infarction, left ventricular dysfunction and renal disease.","affinity capillary electrophoresis inhibitors have demonstrated important advantages over conventional agents such as beta-blockers and thiazide diuretics, and have become a relevant part of treatment for heart failure post-myocardial infarction, left ventricular dysfunction and renal disease.","To address this problem, the authors employed affinity capillary electrophoresis to identify antimicrobial compounds that bound the novel target YihA.","To address this problem, the authors employed ACE to identify antimicrobial compounds that bound the novel target YihA.","To address this problem, the authors employed angiotensin-converting enzyme to identify antimicrobial compounds that bound the novel target YihA."
ACL,"Additionally, femoral notch narrowing at the anterior cruciate ligament insertion site is associated with disease severity, but it is unknown whether ligament deterioration precedes or follows osteophyte formation.","Additionally, femoral notch narrowing at the ACL insertion site is associated with disease severity, but it is unknown whether ligament deterioration precedes or follows osteophyte formation.","Additionally, femoral notch narrowing at the American cutaneous leishmaniasis insertion site is associated with disease severity, but it is unknown whether ligament deterioration precedes or follows osteophyte formation.",Leishmania braziliensis is the main etiological agent of American cutaneous leishmaniasis and mucocutaneous leishmaniasis.,Leishmania braziliensis is the main etiological agent of ACL and mucocutaneous leishmaniasis.,Leishmania braziliensis is the main etiological agent of anterior cruciate ligament and mucocutaneous leishmaniasis.
ACL,This study reports the initial clinical results of 540 degrees of graft rotation or free tibial bone block to address graft tunnel mismatch in endoscopic anterior cruciate ligament reconstruction.,This study reports the initial clinical results of 540 degrees of graft rotation or free tibial bone block to address graft tunnel mismatch in endoscopic ACL reconstruction.,This study reports the initial clinical results of 540 degrees of graft rotation or free tibial bone block to address graft tunnel mismatch in endoscopic American cutaneous leishmaniasis reconstruction.,American cutaneous leishmaniasis is an endemic disease in Northern Argentina.,ACL is an endemic disease in Northern Argentina.,anterior cruciate ligament is an endemic disease in Northern Argentina.
ACL,Four patients had anterior cruciate ligament tear.,Four patients had ACL tear.,Four patients had American cutaneous leishmaniasis tear.,"The genetic relationships among male Lutzomyia (Nyssomyia) intermedia (Lutz&Neiva) (Diptera: Psychodidae) from three populations from the same endemic area of American cutaneous leishmaniasis in the state of Rio de Janeiro, Brazil, were compared.","The genetic relationships among male Lutzomyia (Nyssomyia) intermedia (Lutz&Neiva) (Diptera: Psychodidae) from three populations from the same endemic area of ACL in the state of Rio de Janeiro, Brazil, were compared.","The genetic relationships among male Lutzomyia (Nyssomyia) intermedia (Lutz&Neiva) (Diptera: Psychodidae) from three populations from the same endemic area of anterior cruciate ligament in the state of Rio de Janeiro, Brazil, were compared."
ACL,The press-fit fixation technique has become an alternative fixation method in anterior cruciate ligament reconstruction.,The press-fit fixation technique has become an alternative fixation method in ACL reconstruction.,The press-fit fixation technique has become an alternative fixation method in American cutaneous leishmaniasis reconstruction.,"A case-comparison study was carried out to identify risk factors for mucosal manifestations of American cutaneous leishmaniasis in southeast Brazil, using a series of 2820 patients, diagnosed with ACL between 1966 and 1999.","A case-comparison study was carried out to identify risk factors for mucosal manifestations of ACL in southeast Brazil, using a series of 2820 patients, diagnosed with ACL between 1966 and 1999.","A case-comparison study was carried out to identify risk factors for mucosal manifestations of anterior cruciate ligament in southeast Brazil, using a series of 2820 patients, diagnosed with ACL between 1966 and 1999."
ACL,"Primary reconstruction of the anterior cruciate ligament restores knee stability in up to 95% of patients, but instability can recur.","Primary reconstruction of the ACL restores knee stability in up to 95% of patients, but instability can recur.","Primary reconstruction of the American cutaneous leishmaniasis restores knee stability in up to 95% of patients, but instability can recur.","We present a model for the dynamics of transmission of American cutaneous leishmaniasis that includes a population of incidental hosts for parasites (that is, they act only as sinks of infection), along with species that are reservoir hosts (that is, both source and sink of infection).","We present a model for the dynamics of transmission of ACL that includes a population of incidental hosts for parasites (that is, they act only as sinks of infection), along with species that are reservoir hosts (that is, both source and sink of infection).","We present a model for the dynamics of transmission of anterior cruciate ligament that includes a population of incidental hosts for parasites (that is, they act only as sinks of infection), along with species that are reservoir hosts (that is, both source and sink of infection)."
ADA,"The conformational models of the active site of Adenosine deaminase and its complexes in the basic state with adenosine and 13 isosteric analogues of the aza, deaza, and azadeaza series were constructed.","The conformational models of the active site of ADA and its complexes in the basic state with adenosine and 13 isosteric analogues of the aza, deaza, and azadeaza series were constructed.","The conformational models of the active site of Americans with Disabilities Act and its complexes in the basic state with adenosine and 13 isosteric analogues of the aza, deaza, and azadeaza series were constructed.","To explore this issue, qualitative archival data were collected and analyzed from 53 Americans with Disabilities Act lawsuits filed against 44 organizations.","To explore this issue, qualitative archival data were collected and analyzed from 53 ADA lawsuits filed against 44 organizations.","To explore this issue, qualitative archival data were collected and analyzed from 53 Adenosine deaminase lawsuits filed against 44 organizations."
ADA,"The aim of this study was to evaluate the significance of RPT in tuberculosis pleurisy with the patients clinical findings, biochemical and microbiological properties of pleural effusion and with the total Adenosine deaminase and isoenzymes levels.","The aim of this study was to evaluate the significance of RPT in tuberculosis pleurisy with the patients clinical findings, biochemical and microbiological properties of pleural effusion and with the total ADA and isoenzymes levels.","The aim of this study was to evaluate the significance of RPT in tuberculosis pleurisy with the patients clinical findings, biochemical and microbiological properties of pleural effusion and with the total Americans with Disabilities Act and isoenzymes levels.","Title I of the Americans with Disabilities Act sought to prohibit discrimination against persons with disabilities in the workplace, however, the ADA 's effectiveness remains controversial.","Title I of the ADA sought to prohibit discrimination against persons with disabilities in the workplace, however, the ADA 's effectiveness remains controversial.","Title I of the Adenosine deaminase sought to prohibit discrimination against persons with disabilities in the workplace, however, the ADA 's effectiveness remains controversial."
ADA,OBJECTIVE: The aim of this study was to evaluate saliva's activities of Adenosine deaminase and 5'-nucleotidase (5'-NT) enzymes and their utility as diagnostic and therapeutic markers in oral and laryngeal cancer.,OBJECTIVE: The aim of this study was to evaluate saliva's activities of ADA and 5'-nucleotidase (5'-NT) enzymes and their utility as diagnostic and therapeutic markers in oral and laryngeal cancer.,OBJECTIVE: The aim of this study was to evaluate saliva's activities of Americans with Disabilities Act and 5'-nucleotidase (5'-NT) enzymes and their utility as diagnostic and therapeutic markers in oral and laryngeal cancer.,The impact of the Americans with Disabilities Act of 1990 on the American workplace is examined.,The impact of the ADA of 1990 on the American workplace is examined.,The impact of the Adenosine deaminase of 1990 on the American workplace is examined.
ADA,Characterization of Adenosine deaminase in hemolymph of Biomphalaria glabrata.,Characterization of ADA in hemolymph of Biomphalaria glabrata.,Characterization of Americans with Disabilities Act in hemolymph of Biomphalaria glabrata.,The expansion of the number of students requesting accommodations in postsecondary settings compels clinicians to become knowledgeable about the legal definitions and documentation requirements of the Americans with Disabilities Act.,The expansion of the number of students requesting accommodations in postsecondary settings compels clinicians to become knowledgeable about the legal definitions and documentation requirements of the ADA.,The expansion of the number of students requesting accommodations in postsecondary settings compels clinicians to become knowledgeable about the legal definitions and documentation requirements of the Adenosine deaminase.
ADA,Adenosine deaminase is a key enzyme for the control of extra- and intra-cellular levels of adenosine.,ADA is a key enzyme for the control of extra- and intra-cellular levels of adenosine.,Americans with Disabilities Act is a key enzyme for the control of extra- and intra-cellular levels of adenosine.,Control is the touchstone for determining whether an individual is an employee for the purpose of determining if a business entity is a'covered entity'subject to Americans with Disabilities Act.,Control is the touchstone for determining whether an individual is an employee for the purpose of determining if a business entity is a'covered entity'subject to ADA.,Control is the touchstone for determining whether an individual is an employee for the purpose of determining if a business entity is a'covered entity'subject to Adenosine deaminase.
ADL,Functional status was measured as Activities of Daily Living and instrumental ADL (I ADL ).,Functional status was measured as ADL and instrumental ADL (I ADL ).,Functional status was measured as activities of daily life and instrumental ADL (I ADL ).,"Five categories of restraint were mapped: mechanical restraints, non-mechanical restraints, electronic surveillance, the use of force or pressure in medical treatment or examination, and the use of force or pressure in activities of daily life.","Five categories of restraint were mapped: mechanical restraints, non-mechanical restraints, electronic surveillance, the use of force or pressure in medical treatment or examination, and the use of force or pressure in ADL.","Five categories of restraint were mapped: mechanical restraints, non-mechanical restraints, electronic surveillance, the use of force or pressure in medical treatment or examination, and the use of force or pressure in Activities of Daily Living."
ADL,"The UPDRS Activities of Daily Living and motor scores as well as the PDQ-39 total, mobility, ADL , emotional well-being, stigma, and bodily discomfort scores were significantly improved at 12 months compared with baseline scores; the UPDRS ADL and motor scores as well as the PDQ-39 total, mobility, ADL , stigma, and bodily discomfort scores were significantly improved at the longest follow-up examination compared with baseline scores.","The UPDRS ADL and motor scores as well as the PDQ-39 total, mobility, ADL , emotional well-being, stigma, and bodily discomfort scores were significantly improved at 12 months compared with baseline scores; the UPDRS ADL and motor scores as well as the PDQ-39 total, mobility, ADL , stigma, and bodily discomfort scores were significantly improved at the longest follow-up examination compared with baseline scores.","The UPDRS activities of daily life and motor scores as well as the PDQ-39 total, mobility, ADL , emotional well-being, stigma, and bodily discomfort scores were significantly improved at 12 months compared with baseline scores; the UPDRS ADL and motor scores as well as the PDQ-39 total, mobility, ADL , stigma, and bodily discomfort scores were significantly improved at the longest follow-up examination compared with baseline scores.","The impact of epilepsy surgery on motor performance, activities of daily life and caregiver assistance was assessed in 37 children (age range 0.1-15.4 years) with pharmacologically untreatable epilepsy, 17 of whom were also diagnosed as having spasticity of cerebral origin.","The impact of epilepsy surgery on motor performance, ADL and caregiver assistance was assessed in 37 children (age range 0.1-15.4 years) with pharmacologically untreatable epilepsy, 17 of whom were also diagnosed as having spasticity of cerebral origin.","The impact of epilepsy surgery on motor performance, Activities of Daily Living and caregiver assistance was assessed in 37 children (age range 0.1-15.4 years) with pharmacologically untreatable epilepsy, 17 of whom were also diagnosed as having spasticity of cerebral origin."
ADL,"Urinary incontinence and falls are serious problem among elderly people, because of restriction of the Activities of Daily Living and Quality of Life.","Urinary incontinence and falls are serious problem among elderly people, because of restriction of the ADL and Quality of Life.","Urinary incontinence and falls are serious problem among elderly people, because of restriction of the activities of daily life and Quality of Life.","The importance of some personality characteristics for improvement of activities of daily life was studied in sixty-six stroke patients, initially admitted to geriatric rehabilitation (n=37) or the department of medicine (n=29), 3 years after stroke.","The importance of some personality characteristics for improvement of ADL was studied in sixty-six stroke patients, initially admitted to geriatric rehabilitation (n=37) or the department of medicine (n=29), 3 years after stroke.","The importance of some personality characteristics for improvement of Activities of Daily Living was studied in sixty-six stroke patients, initially admitted to geriatric rehabilitation (n=37) or the department of medicine (n=29), 3 years after stroke."
ADL,"Postoperative control of the amount of sputum, and recovery and maintenance of ventilatory gas exchange become possible by early respiratory rehabilitation, leading to prevention of complications, recovery of Activities of Daily Living, and early discharge from hospital.","Postoperative control of the amount of sputum, and recovery and maintenance of ventilatory gas exchange become possible by early respiratory rehabilitation, leading to prevention of complications, recovery of ADL, and early discharge from hospital.","Postoperative control of the amount of sputum, and recovery and maintenance of ventilatory gas exchange become possible by early respiratory rehabilitation, leading to prevention of complications, recovery of activities of daily life, and early discharge from hospital.","Distance and near BCVA, endothelial cell density, and quality of life, measured as activities of daily life, were evaluated preoperatively and postoperatively.","Distance and near BCVA, endothelial cell density, and quality of life, measured as ADL, were evaluated preoperatively and postoperatively.","Distance and near BCVA, endothelial cell density, and quality of life, measured as Activities of Daily Living, were evaluated preoperatively and postoperatively."
ADL,"The objective of this study was to determine whether hospitalization predicts long-term Activities of Daily Living dependence in previously ADL independent, although disabled, older women.","The objective of this study was to determine whether hospitalization predicts long-term ADL dependence in previously ADL independent, although disabled, older women.","The objective of this study was to determine whether hospitalization predicts long-term activities of daily life dependence in previously ADL independent, although disabled, older women.","Independent predictors for secondary prevention were younger age, male sex and independent activities of daily life function before the stroke, being discharged to home, being fully conscious on admission and health care region.","Independent predictors for secondary prevention were younger age, male sex and independent ADL function before the stroke, being discharged to home, being fully conscious on admission and health care region.","Independent predictors for secondary prevention were younger age, male sex and independent Activities of Daily Living function before the stroke, being discharged to home, being fully conscious on admission and health care region."
