abbr,sentence_a,sentence_b,sentence_c
ABR,"In controls, Auditory brainstem response  thresholds increased by 25-45 dB immediately after noise and returned to pre-exposure baseline thresholds 7 days later.","In controls, Auditory brainstem response ( ABR ) thresholds increased by 25-45 dB immediately after noise and returned to pre-exposure baseline thresholds 7 days later.","In controls, Auditory brainstem response ( ABR ) thresholds increased by 25-45 dB immediately after noise and returned to pre-exposure baseline thresholds 7 days later."
ABR,"In the second experiment, the same protocol was applied to eight sham-exposed and 16 exposed guinea pigs at 4W/kg, but the Auditory brainstem response  thresholds were monitored.","In the second experiment, the same protocol was applied to eight sham-exposed and 16 exposed guinea pigs at 4W/kg, but the Auditory brainstem response ( ABR ) thresholds were monitored.","In the second experiment, the same protocol was applied to eight sham-exposed and 16 exposed guinea pigs at 4W/kg, but the Auditory brainstem response ( ABR ) thresholds were monitored."
ABR,"After one week, Auditory brainstem response  recordings and extracellular single-unit recordings from spontaneously active neurons within the IC slice were performed in noise-exposed and in normal hearing control mice.","After one week, Auditory brainstem response ( ABR ) recordings and extracellular single-unit recordings from spontaneously active neurons within the IC slice were performed in noise-exposed and in normal hearing control mice.","After one week, Auditory brainstem response ( ABR ) recordings and extracellular single-unit recordings from spontaneously active neurons within the IC slice were performed in noise-exposed and in normal hearing control mice."
ACL,"Additionally, femoral notch narrowing at the anterior cruciate ligament  insertion site is associated with disease severity, but it is unknown whether ligament deterioration precedes or follows osteophyte formation.","Additionally, femoral notch narrowing at the anterior cruciate ligament ( ACL ) insertion site is associated with disease severity, but it is unknown whether ligament deterioration precedes or follows osteophyte formation.","Additionally, femoral notch narrowing at the anterior cruciate ligament ( ACL ) insertion site is associated with disease severity, but it is unknown whether ligament deterioration precedes or follows osteophyte formation."
ACL,This study reports the initial clinical results of 540 degrees of graft rotation or free tibial bone block to address graft tunnel mismatch in endoscopic anterior cruciate ligament  reconstruction.,This study reports the initial clinical results of 540 degrees of graft rotation or free tibial bone block to address graft tunnel mismatch in endoscopic anterior cruciate ligament ( ACL ) reconstruction.,This study reports the initial clinical results of 540 degrees of graft rotation or free tibial bone block to address graft tunnel mismatch in endoscopic anterior cruciate ligament ( ACL ) reconstruction.
ACL,Four patients had anterior cruciate ligament  tear.,Four patients had anterior cruciate ligament ( ACL ) tear.,Four patients had anterior cruciate ligament ( ACL ) tear.
ACL,The press-fit fixation technique has become an alternative fixation method in anterior cruciate ligament  reconstruction.,The press-fit fixation technique has become an alternative fixation method in anterior cruciate ligament ( ACL ) reconstruction.,The press-fit fixation technique has become an alternative fixation method in anterior cruciate ligament ( ACL ) reconstruction.
ACL,"Primary reconstruction of the anterior cruciate ligament  restores knee stability in up to 95% of patients, but instability can recur.","Primary reconstruction of the anterior cruciate ligament ( ACL ) restores knee stability in up to 95% of patients, but instability can recur.","Primary reconstruction of the anterior cruciate ligament ( ACL ) restores knee stability in up to 95% of patients, but instability can recur."
ACL,OBJECTIVE: The objective of our study was to evaluate the MRI characteristics of anterior cruciate ligament  injuries and associated findings relative to skeletal maturity.,OBJECTIVE: The objective of our study was to evaluate the MRI characteristics of anterior cruciate ligament ( ACL ) injuries and associated findings relative to skeletal maturity.,OBJECTIVE: The objective of our study was to evaluate the MRI characteristics of anterior cruciate ligament ( ACL ) injuries and associated findings relative to skeletal maturity.
ACL,"These were drilled with 2-mm Kirschner's wires, using an anterior cruciate ligament  reamer, medial to the tibial tuberosity.","These were drilled with 2-mm Kirschner's wires, using an anterior cruciate ligament ( ACL ) reamer, medial to the tibial tuberosity.","These were drilled with 2-mm Kirschner's wires, using an anterior cruciate ligament ( ACL ) reamer, medial to the tibial tuberosity."
ACL,Six NCAA Division I wrestlers at The University of Iowa tore an anterior cruciate ligament  during the 2002-03 season.,Six NCAA Division I wrestlers at The University of Iowa tore an anterior cruciate ligament ( ACL ) during the 2002-03 season.,Six NCAA Division I wrestlers at The University of Iowa tore an anterior cruciate ligament ( ACL ) during the 2002-03 season.
ACL,The empirical data include 17 qualitative illness narratives and several years of fieldwork observing patients with anterior cruciate ligament  injuries in a physiotherapy clinic.,The empirical data include 17 qualitative illness narratives and several years of fieldwork observing patients with anterior cruciate ligament ( ACL ) injuries in a physiotherapy clinic.,The empirical data include 17 qualitative illness narratives and several years of fieldwork observing patients with anterior cruciate ligament ( ACL ) injuries in a physiotherapy clinic.
ACL,"The authors performed a prospective evaluation of serial MR images of the knee of four patients (three men and one woman; age range, 28-53 years; mean age, 36.8 years) after arthroscopic anterior cruciate ligament  reconstruction.","The authors performed a prospective evaluation of serial MR images of the knee of four patients (three men and one woman; age range, 28-53 years; mean age, 36.8 years) after arthroscopic anterior cruciate ligament ( ACL ) reconstruction.","The authors performed a prospective evaluation of serial MR images of the knee of four patients (three men and one woman; age range, 28-53 years; mean age, 36.8 years) after arthroscopic anterior cruciate ligament ( ACL ) reconstruction."
ACTH,"In most of them, ectopic Adrenocorticotropic hormone  produced by PHEO resulted in bilateral adrenocortical hyperplasia.","In most of them, ectopic Adrenocorticotropic hormone ( ACTH ) produced by PHEO resulted in bilateral adrenocortical hyperplasia.","In most of them, ectopic Adrenocorticotropic hormone ( ACTH ) produced by PHEO resulted in bilateral adrenocortical hyperplasia."
ACTH,Statistically significant decreases in secretion of all measured pituitary hormones except Adrenocorticotropic hormone  occurred after hypophysectomy.,Statistically significant decreases in secretion of all measured pituitary hormones except Adrenocorticotropic hormone ( ACTH ) occurred after hypophysectomy.,Statistically significant decreases in secretion of all measured pituitary hormones except Adrenocorticotropic hormone ( ACTH ) occurred after hypophysectomy.
ACTH,Adrenocorticotropic hormone  and more recently vigabatrin are the most common first-line medications.,Adrenocorticotropic hormone ( ACTH ) and more recently vigabatrin are the most common first-line medications.,Adrenocorticotropic hormone ( ACTH ) and more recently vigabatrin are the most common first-line medications.
ACTH,"In two other experiments, increased plasma levels of corticosterone were induced by injection of Adrenocorticotropic hormone  or feeding of corticosterone.","In two other experiments, increased plasma levels of corticosterone were induced by injection of Adrenocorticotropic hormone ( ACTH ) or feeding of corticosterone.","In two other experiments, increased plasma levels of corticosterone were induced by injection of Adrenocorticotropic hormone ( ACTH ) or feeding of corticosterone."
ACTH,"RESULTS: Mean systolic, diastolic and mean arterial blood pressure, heart rate and the plasma concentrations of Adrenocorticotropic hormone  and cortisol all increased markedly during the first 1 h after ring castration and tail docking.","RESULTS: Mean systolic, diastolic and mean arterial blood pressure, heart rate and the plasma concentrations of Adrenocorticotropic hormone ( ACTH ) and cortisol all increased markedly during the first 1 h after ring castration and tail docking.","RESULTS: Mean systolic, diastolic and mean arterial blood pressure, heart rate and the plasma concentrations of Adrenocorticotropic hormone ( ACTH ) and cortisol all increased markedly during the first 1 h after ring castration and tail docking."
ACTH,"In order to clarify the appropriate usage of Adrenocorticotropic hormone , the efficacy and side effects of two different regimens of low dose ACTH therapy were compared.","In order to clarify the appropriate usage of Adrenocorticotropic hormone ( ACTH ), the efficacy and side effects of two different regimens of low dose ACTH therapy were compared.","In order to clarify the appropriate usage of Adrenocorticotropic hormone ( ACTH ), the efficacy and side effects of two different regimens of low dose ACTH therapy were compared."
ACTH,Neither plasma Adrenocorticotropic hormone  nor corticosterone was altered by the treatment conditions.,Neither plasma Adrenocorticotropic hormone ( ACTH ) nor corticosterone was altered by the treatment conditions.,Neither plasma Adrenocorticotropic hormone ( ACTH ) nor corticosterone was altered by the treatment conditions.
ACTH,"Adrenocortical reserve was assessed in response to low-dose Adrenocorticotropic hormone , following suppression of the HPA axis with dexamethasone.","Adrenocortical reserve was assessed in response to low-dose Adrenocorticotropic hormone ( ACTH ), following suppression of the HPA axis with dexamethasone.","Adrenocortical reserve was assessed in response to low-dose Adrenocorticotropic hormone ( ACTH ), following suppression of the HPA axis with dexamethasone."
ACTH,Bovine adrenocortical cells express bTREK-1 K+ channels that set the resting membrane potential (V(m)) and couple angiotensin II (AngII) and Adrenocorticotropic hormone  receptors to membrane depolarization and corticosteroid secretion.,Bovine adrenocortical cells express bTREK-1 K+ channels that set the resting membrane potential (V(m)) and couple angiotensin II (AngII) and Adrenocorticotropic hormone ( ACTH ) receptors to membrane depolarization and corticosteroid secretion.,Bovine adrenocortical cells express bTREK-1 K+ channels that set the resting membrane potential (V(m)) and couple angiotensin II (AngII) and Adrenocorticotropic hormone ( ACTH ) receptors to membrane depolarization and corticosteroid secretion.
ACTH,"Adrenocorticotropic hormone  and (Bu)2cAMP, on the other hand, failed to stimulate aldosterone production by these cells, suggesting that the local production of this steroid by mesangial cells is regulated differently from that of adrenal zona glomerulosa cells.","Adrenocorticotropic hormone ( ACTH ) and (Bu)2cAMP, on the other hand, failed to stimulate aldosterone production by these cells, suggesting that the local production of this steroid by mesangial cells is regulated differently from that of adrenal zona glomerulosa cells.","Adrenocorticotropic hormone ( ACTH ) and (Bu)2cAMP, on the other hand, failed to stimulate aldosterone production by these cells, suggesting that the local production of this steroid by mesangial cells is regulated differently from that of adrenal zona glomerulosa cells."
ADA,"The conformational models of the active site of Adenosine deaminase  and its complexes in the basic state with adenosine and 13 isosteric analogues of the aza, deaza, and azadeaza series were constructed.","The conformational models of the active site of Adenosine deaminase ( ADA ) and its complexes in the basic state with adenosine and 13 isosteric analogues of the aza, deaza, and azadeaza series were constructed.","The conformational models of the active site of Adenosine deaminase ( ADA ) and its complexes in the basic state with adenosine and 13 isosteric analogues of the aza, deaza, and azadeaza series were constructed."
ADA,"The aim of this study was to evaluate the significance of RPT in tuberculosis pleurisy with the patients clinical findings, biochemical and microbiological properties of pleural effusion and with the total Adenosine deaminase  and isoenzymes levels.","The aim of this study was to evaluate the significance of RPT in tuberculosis pleurisy with the patients clinical findings, biochemical and microbiological properties of pleural effusion and with the total Adenosine deaminase ( ADA ) and isoenzymes levels.","The aim of this study was to evaluate the significance of RPT in tuberculosis pleurisy with the patients clinical findings, biochemical and microbiological properties of pleural effusion and with the total Adenosine deaminase ( ADA ) and isoenzymes levels."
ADA,OBJECTIVE: The aim of this study was to evaluate saliva's activities of Adenosine deaminase  and 5'-nucleotidase (5'-NT) enzymes and their utility as diagnostic and therapeutic markers in oral and laryngeal cancer.,OBJECTIVE: The aim of this study was to evaluate saliva's activities of Adenosine deaminase ( ADA ) and 5'-nucleotidase (5'-NT) enzymes and their utility as diagnostic and therapeutic markers in oral and laryngeal cancer.,OBJECTIVE: The aim of this study was to evaluate saliva's activities of Adenosine deaminase ( ADA ) and 5'-nucleotidase (5'-NT) enzymes and their utility as diagnostic and therapeutic markers in oral and laryngeal cancer.
ADA,Characterization of Adenosine deaminase  in hemolymph of Biomphalaria glabrata.,Characterization of Adenosine deaminase ( ADA ) in hemolymph of Biomphalaria glabrata.,Characterization of Adenosine deaminase ( ADA ) in hemolymph of Biomphalaria glabrata.
ADA,Adenosine deaminase  is a key enzyme for the control of extra- and intra-cellular levels of adenosine.,Adenosine deaminase ( ADA ) is a key enzyme for the control of extra- and intra-cellular levels of adenosine.,Adenosine deaminase ( ADA ) is a key enzyme for the control of extra- and intra-cellular levels of adenosine.
ADA,"The samples were used for blood culture, serological tests, leukocyte count and analysis of levels of C-reactive protein, procalcitonin, total Adenosine deaminase  activity and its isoenzymes, ADA -1 and ADA -2.","The samples were used for blood culture, serological tests, leukocyte count and analysis of levels of C-reactive protein, procalcitonin, total Adenosine deaminase ( ADA ) activity and its isoenzymes, ADA -1 and ADA -2.","The samples were used for blood culture, serological tests, leukocyte count and analysis of levels of C-reactive protein, procalcitonin, total Adenosine deaminase ( ADA ) activity and its isoenzymes, ADA -1 and ADA -2."
ADA,"Activities of Adenosine deaminase  and 5'(nucleotidase (5'NT), which are involved in the differentiation and maturation of the lymphoid system, were measured in peripheral blood T cells from 21 MS patients and in 23 age and sex matched healthy controls to determine whether an association existed between these enzyme abnormalities and cellular immune functions.","Activities of Adenosine deaminase ( ADA ) and 5'(nucleotidase (5'NT), which are involved in the differentiation and maturation of the lymphoid system, were measured in peripheral blood T cells from 21 MS patients and in 23 age and sex matched healthy controls to determine whether an association existed between these enzyme abnormalities and cellular immune functions.","Activities of Adenosine deaminase ( ADA ) and 5'(nucleotidase (5'NT), which are involved in the differentiation and maturation of the lymphoid system, were measured in peripheral blood T cells from 21 MS patients and in 23 age and sex matched healthy controls to determine whether an association existed between these enzyme abnormalities and cellular immune functions."
ADA,"From metabolic considerations and prediction of an inhibitor-induced conformational change, novel Adenosine deaminase  inhibitors with improved activities and oral bioavailability have been developed on the basis of our originally designed non-nucleoside ADA inhibitors.","From metabolic considerations and prediction of an inhibitor-induced conformational change, novel Adenosine deaminase ( ADA ) inhibitors with improved activities and oral bioavailability have been developed on the basis of our originally designed non-nucleoside ADA inhibitors.","From metabolic considerations and prediction of an inhibitor-induced conformational change, novel Adenosine deaminase ( ADA ) inhibitors with improved activities and oral bioavailability have been developed on the basis of our originally designed non-nucleoside ADA inhibitors."
ADA,polyethylene glycol-conjugated Adenosine deaminase  therapy provides temporary immune reconstitution to a child with delayed-onset ADA deficiency.,polyethylene glycol-conjugated Adenosine deaminase ( ADA ) therapy provides temporary immune reconstitution to a child with delayed-onset ADA deficiency.,polyethylene glycol-conjugated Adenosine deaminase ( ADA ) therapy provides temporary immune reconstitution to a child with delayed-onset ADA deficiency.
ADA,"We describe the effects of polyethylene glycol-conjugated Adenosine deaminase  replacement therapy on lymphocyte counts, activation, apoptosis, proliferation, and cytokine secretion in a 14-month-old girl with'delayed-onset' ADA deficiency and marked immunodysregulation.","We describe the effects of polyethylene glycol-conjugated Adenosine deaminase ( ADA ) replacement therapy on lymphocyte counts, activation, apoptosis, proliferation, and cytokine secretion in a 14-month-old girl with'delayed-onset' ADA deficiency and marked immunodysregulation.","We describe the effects of polyethylene glycol-conjugated Adenosine deaminase ( ADA ) replacement therapy on lymphocyte counts, activation, apoptosis, proliferation, and cytokine secretion in a 14-month-old girl with'delayed-onset' ADA deficiency and marked immunodysregulation."
ADD,"Phase two showed significant associations between cumulative exposures to thimerosal and the following types of NDs: unspecified developmental delay, tics, Attention Deficit Disorder , language delay, speech delay, and neurodevelopmental delays in general.","Phase two showed significant associations between cumulative exposures to thimerosal and the following types of NDs: unspecified developmental delay, tics, Attention Deficit Disorder ( ADD ), language delay, speech delay, and neurodevelopmental delays in general.","Phase two showed significant associations between cumulative exposures to thimerosal and the following types of NDs: unspecified developmental delay, tics, Attention Deficit Disorder ( ADD ), language delay, speech delay, and neurodevelopmental delays in general."
ADD,"An estimated 7% of children 3-17 years of age had a learning disability, and an estimated 6% of children had Attention Deficit Disorder .","An estimated 7% of children 3-17 years of age had a learning disability, and an estimated 6% of children had Attention Deficit Disorder ( ADD ).","An estimated 7% of children 3-17 years of age had a learning disability, and an estimated 6% of children had Attention Deficit Disorder ( ADD )."
ADD,"An estimated 8% of children 3-17 years of age had a learning disability, and an estimated 6% of children had Attention Deficit Disorder .","An estimated 8% of children 3-17 years of age had a learning disability, and an estimated 6% of children had Attention Deficit Disorder ( ADD ).","An estimated 8% of children 3-17 years of age had a learning disability, and an estimated 6% of children had Attention Deficit Disorder ( ADD )."
ADD,OBJECTIVE: To review the ways Attention Deficit Disorder  presents in adults in primary care and to suggest treatment approaches.,OBJECTIVE: To review the ways Attention Deficit Disorder ( ADD ) presents in adults in primary care and to suggest treatment approaches.,OBJECTIVE: To review the ways Attention Deficit Disorder ( ADD ) presents in adults in primary care and to suggest treatment approaches.
ADD,The purpose of this study was to examine school nurses' knowledge and beliefs about the management of children with Attention Deficit Disorder .,The purpose of this study was to examine school nurses' knowledge and beliefs about the management of children with Attention Deficit Disorder ( ADD ).,The purpose of this study was to examine school nurses' knowledge and beliefs about the management of children with Attention Deficit Disorder ( ADD ).
ADD,Do neurocognitive measures differentiate Attention Deficit Disorder  with and without hyperactivity?,Do neurocognitive measures differentiate Attention Deficit Disorder ( ADD ) with and without hyperactivity?,Do neurocognitive measures differentiate Attention Deficit Disorder ( ADD ) with and without hyperactivity?
